Key,Arabic
Property as default filter description,
Property as filter description,
Property delete warning,
Protect your account,
Protection,
Public form URL description,
Public form settings description,
Public form whitelist description,
Published,
Query,
Quick labeling for,
Reject,
Remove,
Rename,
Repeat Password,
Request id #,
Required property,
Reset 2FA,
Reset Password,
Restricted,
Return to login,
Return to the thesaurus page when you finished labeling to start learning.,
Review unpublished document,
Reviewed,
Route,
Sample,
Save User,
Save and go to next,
Save changes,
Save document,
Save document(s),
Save password,
"Scan the following QR code selecting the ""scan barcode"" option:",
Search not found,
Search tips,
Select all,
Select files on your device,
Select from files,
Select relationship type,
Select supporting file,
Select target paragraph,
Select...,
Semantic Search,
Semantic search minimum sentences help,
Semantic search overview,
Semantic search results,
Semantic search threshold help,
Send,
Sentences above threshold,
Set as default,
Set the default starting point for your geolocation properties.,
Share,
Share with people and groups,
Shared as editor,
Shared as viewer,
Show Suggestions,
Show cookie policy,
Show filters,
Some adavanced search features may not be available for this language.,
Something went wrong,
Sort,
Strict mode,
Style,
Submit,
Submiting,
Suggested labels description,
Suggestions,
Supporting files,
Table,
Table of Contents,
Table view,
Template,
Text references limit warning,
The combination of entity types doesn't have any filters in common.,
The current model was trained at,
"The first step is to label a sample of your documents, so Uwazi can learn which topics to suggest when helping you label your collection.",
The import process threw an error:,
The template contains errors,
There are no pages enabled for entity view,
"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.",
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,
This content is automatically generated,
"This entity has no document, you probably want to see the metadata",
This entity is not public.,
This entity is restricted from public view.,
This option will show a notification about the use of cookies in your instance.,
This property will appear in the library cards as part of the basic info.,
This property will be inherited from the related entities and shown as metadata of this type of entities.,
This property will be shown using all the width available.,
This property will be shown without the label.,
This template will be used as default for new entities.,
Threshold,
Time,
"To bring you a better experience, this site uses cookies.",
"To complete the account creation process, please create a password for your account",
To get resource from web:,
Train model,
Try selecting other documents.,
Two-factor verification failed,
Two-step verification,
URL,
Upload PDF,
Upload PDF(s) to create,
Upload a ZIP or CSV file.,
Upload and select file,
Upload from computer,
Uploading ...,
Uploading file,
Use,
Username is required,
Username is too long,
Username is too short,
Using Google Authenticator,
Uwazi UI,
Uwazi is developed by,
"Uwazi is learning using the labelled documents. This may take up to 2 hours, and once completed you can review suggestions made by Uwazi for your collection.",
Verify,
Verifying...,
View suggestions,
Warning: you are editing multiple entities. Fields marked with a,
"We provide a default key, you can set your own MapTiler API key",
We recommend labeling,
Website analytics,
Welcome to Uwazi,
"Well, this is awkward...",
With great power comes great responsibility!,
Year,
"You can also embed advanced components like maps, charts and entity lists in your page.",
You can also improve the model by providing more labeled documents.,
"You can configure the email that will appear as the sender when any email is sent to the user. If this email is not set, “no-reply@uwazi.io” will be used instead.",
You can create metadata templates in,
You have labeled,
You have successfully configured two-step verification.,
You should activate this feature for enhanced account security,
You will need to reload the page after updating your Favicon.,
You won't be able to save an entity if this property is empty.,
Your account is protected by 2fa.,
Zoom in,
Zoom in library view,
Zoom out,
Zoom out library view,
add icon,
affects,
auto-created,
created,
documents before training (30 per topic).,
documents so far.,
documents.,
help,
https://yourdomain,
https://yoursite.com/,
landing page description,
leaving only a relative URL starting with a slash character. Ie. /some_url.,
library list view,
library map view,
library table view,
linked,
low,
more options.,
or,
or drop your files here.,
out of,
private,
public,
remove icon,
selected of,
shown of,
syntax to create page content,
to learn more about the components.,
to view your authentication code and verify your identity.,
will be updated with the same value.,
with,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
