Key,Thai
Documentation,เอกสาร
Documents for custom filter,เอกสารสำหรับตัวกรองที่กำหนดค่าเอง
Documents including suggestion:,เอกสารที่รวมข้อเสนอแนะ
Documents to be reviewed,เอกสารที่จะต้องตรวจสอบ
Download,ดาวน์โหลด
Drag and drop file in this window to upload,นำไฟล์มาวางในหน้าต่างนี้เพื่ออัปโหลด
Drag items here,นำรายการมาวางที่นี่
Drag properties here,นำคุณสมบัติมาวางที่นี่
Drop your files here to upload or,นำไฟล์มาวางที่นี่เพื่ออัปโหลด หรือ
Duplicated email,อีเมลที่ซ้ำกัน
Duplicated label,ชื่อที่ซ้ำกัน
Duplicated username,ชื่อผู้ใช้ที่ซ้ำกัน
Edit all documents matching this criteria,แก้ไขเอกสารทั้งหมดที่ตรงตามเกณฑ์นี้
Email is required,จำเป็นต้องใช้อีเมล
Enable this page to be used as an entity view page:,เปิดหน้านี้เพื่อใช้เป็นหน้ามุมมองรายการ
Enter the 6-digit verification code generated by your Authenticator app:,ป้อนรหัสการยืนยันตัวตน 6 หลักที่สร้างขึ้นโดยแอป Authenticator ของคุณ
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.",รายการสามารถถูกแสดงในหน้าที่สร้างเอง ในกรณีนี้ จะต้องสร้างหน้าขึ้นมาเองในเพจและเลือกที่นี่
Entity,รายการ
Entity types,ประเภทรายการ
Error,ข้อผิดพลาด
Examples,ตัวอย่าง
Exploration,ค้นหา
Export CSV,โหลดเป็น CSV
Exporting entities to CSV,โหลดรายการเป็น CSV
Extract information from your documents,ดึงข้อมูลออกมาจากเอกสารของคุณ
Favicon is an icon that appears in the browser tab and bookmarks.,Favicon เป็นไอคอนที่ปรากฏในแท็บเบราว์เซอร์และบุ๊กมาร์ก
File,ไฟล์
Fill,ใส่ค่า
Filters configuration description,คำอธิบายการกำหนดค่าตัวกรอง
Filters configuration example,ตัวอย่างการกำหนดค่าตัวกรอง
Find,หา
Fine tune,ปรับแต่ง
Fit,พอดี
"For better performance, upload your documents in batches of 50 or less.",เพื่อประสิทธิภาพที่ดีขึ้น กรุณาอัปโหลดเอกสาร ไม่เกินครั้งละ 50 ฉบับ
"For better performance, upload your files in batches of 50 or less.",เพื่อประสิทธิภาพที่ดีขึ้น กรุณาอัปโหลดไฟล์ ไม่เกินครั้งละ 50 ไฟล์
Forms and email configuration,การตั้งค่าแบบฟอร์มและอีเมล
Full edit mode,โหมดการแก้ไขแบบสมบูรณ์
General,ข้อมูลทั่วไป
Global CSS,CSS ทั้งหมด
Groups,กลุ่ม
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,คุณสามารถตั้งค่าอีเมลผู้ติดต่อและอีเมลที่จะถูกแสดงเมื่อ Uwazi ส่งการแจ้งเตือนไปยังผู้ใช้ได้ที่นี่
Hold shift to rotate the map,กดปุ่ม shift เพื่อหมุนแผนที่
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",หากเป็น URL จากภายนอก กรุณาใช้ URL แบบเต็มเช่น http://www.uwazi.io
"If it is an internal URL within this website, be sure to delete the first part",หากเป็น URL ภายใน กรุณาลบ URL ส่วนแรก
"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.",หากคุณได้เพิ่มแบบฟอร์มการติดต่อบนหน้าของคุณ ข้อมูลจะถูกส่งมายังอีเมลนี้
"If you want to continue, please type",ถ้าคุณต้องการดำเนินการต่อ กรุณาพิมพ์
Import,นำเข้า
Import CSV,นำเข้า CSV
Import completed:,นำเข้าเสร็จสมบูรณ์:
Import instructions,คำแนะนำการนำเข้าข้อมูล
Importing data in progress,การนำเข้าข้อมูลที่กำลังดำเนินอยู่
Improve the quality of this topic's suggestions by finding more sample documents with this label.,พัฒนาคุณภาพของคำแนะนำหัวข้อนี้โดยค้นหาตัวอย่างเอกสารประเภทเดียวกัน
Indexing entities may take a few minutes,การจัดทำดัชนีรายการอาจใช้เวลาสักครู่
Inherit property,ก็อปปี้คุณสมบัตินี้
Install the Google Authenticator app on your mobile device,กรุณาติดตั้งแอป Google Authenticator บนอุปกรณ์มือถือของคุณ
Instructions to reset user password have been sent,เราได้ส่งคำแนะนำเกี่ยวกับการรีเซ็ตรหัสผ่านให้แล้ว
Invalid captcha,captcha ไม่ถูกต้อง
Invalid email,อีเมลไม่ถูกต้อง
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,ข้อเสนอแนะไม่ถูกต้องใช่ไหม? กดปุ่ม 'ปฏิเสธ' และ Uwazi จะทำการปรับปรุงคำเสนอแนะต่อไป
It could also very easily break the app. Only write code here if you know exactly what you are doing.,มันอาจจะทำให้แอปใช้ไม่ได้ เขียนโค้ดที่นี่ในกรณีที่คุณเข้าใจสิ่งที่คุณทำเท่านั้น
Items:,รายการ:
Label,ประเภท
Label more documents,กำหนดประเภทเอกสารเพิ่มเติม
Label your collection note,กำหนดประเภทการจัดกลุ่มของคุณ
Language deleted,ลบภาษาแล้ว
Languages,ภาษา
Latitude,พิกัดละติจูด
Learn more,เรียนรู้เพิ่มเติม
Learning...,กำลังประมวลผล
Legend,กลุ่ม
Longitude,พิกัดลองจิจูด
ML TOC,ML TOC
Map,แผนที่
Maps,แผนที่
Mark as Reviewed,ได้ตรวจสอบแล้ว
Markdown,การทำเครื่องหมาย
Members,สมาชิก
Message,ข้อความ
Metadata Extraction,ค้นหาเมตาดาต้า
Metadata creator,ผู้สร้างเมตาดาต้า
Metadata extraction dashboard,แดชบอร์ดสำหรับค้นหาเมตาดาต้า
Metadata to extract,เมตาดาต้าที่จะนำออกมา
Mixed access,การเข้าถึงแบบผสม
Month,เดือน
Multimedia fill description,คำอธิบายการเติมข้อมูลมัลติมีเดีย
Multimedia fit description,คำอธิบายการเติมข้อมูลมัลติมีเดีย
Multiple relationships edit description,คำอธิบายการแก้ไขความสัมพันธ์ที่หลากหลาย
Name is required,จำเป็นต้องใส่ชื่อ
Name is too long,ชื่อยาวเกินไป
Name is too short,ชื่อสั้นเกินไป
Name of the group,ชื่อของกลุ่ม
Narrow down your searches,จำกัด การค้นหาของคุณให้แคบลง
Narrow your search,จำกัด การค้นหาของคุณ
New language added,ภาษาใหม่ถูกเพิ่มแล้ว
New relationships group,กลุ่มความสัมพันธ์ใหม่
Newest,ใหม่ล่าสุด
Next,ต่อไป
No Documents found,ไม่พบเอกสาร
No Table of Contents,ไม่พบสารบัญ
No attachments,ไม่พบสิ่งที่แนบมา
No icon / flag,ไม่พบ ไอค่อน / สิ่งที่ถูกคั่นหน้า
No relationship types warning,ไม่พบคำเตือนเกี่ยวกับประเภทความสัมพันธ์
Normal view,มุมมองปกติ
Nothing to see here! The selected documents are not using the selected thesaurus,ไม่พบข้อมูล! เอกสารที่ถูกเลือกไม่ได้ใช้คำอธิบายกลุ่มคำ
Number of sentences above threshold,จำนวนประโยคเกินเกณฑ์ที่กำหนด
Ok,ตกลง
Oldest,เก่าที่สุด
Only allowed users will be able to see them,ผู้ใช้ที่ได้รับอนุญาตเท่านั้นถึงจะเห็นข้อมูลนี้
Ooops... please go,กรุณาดำเนินการต่อ
Oops! We couldn't find the thesaurus you're trying to edit. Try navigating back to this page through Settings.,เราไม่พบคำอธิบายกลุ่มคำที่คุณต้องการแก้ไข กรุณากลับมาที่หน้านี้ใหม่โดยเลือกการตั้งค่า
"Open the app and select ""Add Account"" (usually a plus symbol)","กรุณาเปิดแอปแล้วเลือก ""เพิ่มบัญชี"" (หรือกดที่เครื่องหมายบวก)"
Open the two-factor Authenticator app on your device,กรุณาเปิดแอป Authenticator สำหรับยืนยันรหัสสองทาง บนอุปกรณ์ของคุณ
Or enter this secret key into your Authenticator app,หรือใส่รหัสลับนี้บน แอป Authenticator ของคุณ
PRIMARY DOCUMENTS,เอกสารหลัก
Page,หน้า
Page Javascript,หน้าจาวาสคริปต์
Password is too long,รหัสผ่านยาวเกินไป
Passwords don’t match,รหัสผ่านไม่ตรงกัน
Permission,สิทธิการเข้าถึง
Permission on entities explicitly shared with the user,สิทธิการเข้าถึงบนรายการถูกแชร์ให้ผู้ใช้แล้ว
Permissions,สิทธิการเข้าถึง
Plain text,ข้อความธรรมดา
Please contact an admin for details.,กรุณาติดต่อผู้ดูแลระบบเพื่อดูรายละเอียดเพิ่มเติม
Please type in letters and numbers from the image to start the export.,กรุณาพิมพ์ตัวอักษรและตัวเลขจากภาพเพื่อเริ่มการส่งออก
Precision,ความแม่นยำ
Press enter to add,กด Enter เพื่อเพิ่ม
Preview,ดูตัวอย่าง
Previous,ก่อนหน้า
Priority sorting,เรียงลำดับตามลำดับความสำคัญ
Priority sorting description,คำอธิบายเกี่ยวกับการเรียงลำดับตามลำดับความสำคัญ
ProTip!,โปรทิป!
Processing,กำลังประมวลผล
Properties,คุณสมบัติ
Properties from other templates in the collection using the same label,คุณสมบัติจากเทมเพลตอื่นๆในคอลเลกชันที่อยู่ในประเภทเดียวกัน
Property as default filter description,คำอธิบายคุณสมบัติเกี่ยวกับตัวกรองเริ่มต้น
Property as filter description,คำอธิบายคุณสมบัติเกี่ยวกับตัวกรอง
Property delete warning,คำเตือนเกี่ยวกับการลบคุณสมบัติ
Protect your account,ปกป้องบัญชีของคุณ
Protection,การป้องกัน
Public form URL description,คำอธิบายเกี่ยวกับ URL สำหรับแบบฟอร์มสาธารณะ
Public form settings description,คำอธิบายเกี่ยวกับการตั้งค่าแบบฟอร์มสาธารณะ
Public form whitelist description,คำอธิบายเกี่ยวกับลิสต์ที่ถูกอนุญาติสำหรับแบบฟอร์มสาธารณะ
Published,ตีพิมพ์แล้ว
Query,สืบค้น
Quick labeling for,จัดประเภททันที
Reject,ปฏิเสธ
Remove,ลบ
Rename,เปลี่ยนชื่อ
Repeat Password,ใส่รหัสผ่านอีกครั้ง
Request id #,ขอรหัส #
Required property,คุณสมบัติที่จำเป็น
Reset 2FA,สร้าง 2FA ใหม่
Reset Password,สร้าง รหัสผ่าน ใหม่
Restricted,ถูก จำกัด
Return to login,กลับไปที่การเข้าสู่ระบบ
Return to the thesaurus page when you finished labeling to start learning.,กลับไปที่หน้าคำอธิบายกลุ่มคำเมื่อคุณแยกประเภทเสร็จสิ้นเพื่อเริ่มการเรียนรู้
Review unpublished document,ตรวจสอบเอกสารที่ยังไม่ได้เริ่มเผยแพร่
Reviewed,ตรวจสอบแล้ว
Route,เส้นทาง
Sample,ตัวอย่าง
Save User,บันทึกผู้ใช้
Save and go to next,บันทึกและดำเนินการต่อ
Save changes,บันทึกการเปลี่ยนแปลง
Save document,บันทึกเอกสาร
Save document(s),บันทึกเอกสาร
Save password,บันทึกรหัสผ่าน
"Scan the following QR code selecting the ""scan barcode"" option:","สแกนรหัส QR และเลือก ""สแกนบาร์โค้ด"""
Search not found,ไม่พบการค้นหา
Search tips,เคล็ดลับการค้นหา
Select all,เลือกทั้งหมด
Select files on your device,เลือกไฟล์บนอุปกรณ์ของคุณ
Select from files,เลือกจากไฟล์
Select relationship type,เลือกประเภทความสัมพันธ์
Select supporting file,เลือกไฟล์สนับสนุน
Select target paragraph,เลือกย่อหน้าที่ต้องการ
Select...,เลือก...
Semantic Search,ค้นหาความหมาย
Semantic search minimum sentences help,ความช่วยเหลือเกี่ยวกับ การค้นหาความหมายของประโยคขั้นต่ำ
Semantic search overview,ภาพรวมเกี่ยวกับการค้นหาความหมาย
Semantic search results,ผลการค้นหาความหมาย
Semantic search threshold help,ความช่วยเหลือเกี่ยวกับเกณฑ์การค้นหาความหมาย
Send,ส่ง
Sentences above threshold,ประโยคที่เกินเกณฑ์ที่กำหนด
Set as default,ตั้งเป็นค่าเริ่มต้น
Set the default starting point for your geolocation properties.,ตั้งค่าจุดเริ่มต้นอัตโนมัติสำหรับคุณสมบัติทางภูมิศาสตร์ของคุณ
Share,แบ่งปัน
Share with people and groups,แบ่งปันกับผู้คนและกลุ่ม
Shared as editor,แบ่งปันสิทธิ์การแก้ไข
Shared as viewer,แบ่งปันสิทธิ์การมอง
Show Suggestions,แสดงคำแนะนำ
Show cookie policy,แสดงนโยบายคุกกี้
Show filters,แสดงตัวกรอง
Some adavanced search features may not be available for this language.,คุณสมบัติการค้นหาขั้นสูงบางอย่างอาจไม่สามารถใช้ได้กับภาษานี้
Something went wrong,มีสิ่งผิดปกติเกิดขึ้น
Sort,เรียงลำดับ
Strict mode,โหมดแบบจำกัด
Style,สไตล์
Submit,ส่ง
Submiting,กำลังส่ง
Suggested labels description,คำแนะนำเกี่ยวกับความหมายของการจัดประเภท
Suggestions,คำแนะนำ
Supporting files,รองรับไฟล์
Table,ตาราง
Table of Contents,สารบัญ
Table view,มุมมองตาราง
Template,แม่แบบ
Text references limit warning,คำเตือน การอ้างอิงบทความเกินเกณฑ์ที่กำหนด
The combination of entity types doesn't have any filters in common.,รายการที่ถูกเลือกทั้งหมดไม่มีตัวกรองที่สามารถใช้ร่วมกันได้
The current model was trained at,แม่แบบปัจจุบันได้ถูกเรียนรู้เมื่อ
"The first step is to label a sample of your documents, so Uwazi can learn which topics to suggest when helping you label your collection.","ขั้นตอนแรกที่จะต้องทำคือการเลือกประเภทให้กับตัวอย่างเอกสารของคุณ 
Uwazi จะทำการเรียนรู้เพื่อช่วยเสนอแนะในขณะที่ช่วยเลือกประเภทหมวดหมู่
เอกสารให้คุณ"
The import process threw an error:,กระบวนการนำเข้าเกิดความผิดพลาด
The template contains errors,มีข้อผิดพลาดที่แม่แบบ
There are no pages enabled for entity view,ไม่มีหน้าที่ถูกตั้งค่าสำหรับมุมมองรายการ
"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.","มีข้อผิดพลาดเกิดขึ้นในหน้าที่สร้างใหม่ ระบบอาจทำงานไม่ถูกต้อง กรุณาติด
ต่อผู้ดูแลระบบเพื่อขอรายละเอียดเพิ่มเติม"
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,พื้นที่นี้อนุญาตให้คุณใส่โค้ดจาว่าสคริปได้ มันจะช่วยให้คุณสามารถค้นพบความเป็นไปได้ใหม่ๆ
This content is automatically generated,เนื้อหานี้ถูกสร้างขึ้นโดยอัตโนมัติ
"This entity has no document, you probably want to see the metadata",รายการนี้ไม่มีเอกสาร คุณอาจจะอยากดูข้อมูลเมตาดาตาเพิ่มเติม
This entity is not public.,รายการนี้ไม่ได้เปิดการเข้าถึงแบบสาธารณะ
This entity is restricted from public view.,รายการนี้ถูกจำกัดการเข้าถึงแบบสาธารณะ
