documents so far.,şimdiye kadar belgeler.
documents to be reviewed,İncelenecek belgeler
Documents to be reviewed,İncelenecek belgeler
documents.,belgeler.
Download,Özel filtre için belgeler
Drag and drop file in this window to upload,Yüklemek için dosyayı bu pencerede sürükleyip bırakın
Drag items here,Öğeleri buraya sürükleyin
Drag properties here,Özellikleri buraya sürükleyin
Drop your files here to upload or,Dosyalarınızı yüklemek için buraya bırakın veya
Duplicate values not allowed.,Duplicate values not allowed.
Duplicated email,Mükerrer e-posta
Duplicated label,Mükerrer etiket
Duplicated name,Mükerrer ad
Duplicated username,Mükerrer kullanıcı adı
Edit,Düzenle
Edit all documents matching this criteria,Bu kriterlere uyan tüm belgeleri düzenleyin
Edit metadata of entities,Edit metadata of entities
Editor,Editör
editor,Editör
Email,E-posta
Email address,E-posta adresi
Email is required,E-posta gerekli
Email updated,E-posta güncellendi
Empty,Empty
Empty / Empty,Empty / Empty
Empty / Label,Empty / Label
Empty / Obsolete,Empty / Obsolete
Empty / Value,Empty / Value
empty property tip,You won't be able to save an entity if this property is empty.
emptyDesc,"Both the current value and the suggestion are empty. You can click to fill the value and text selection so it becomes a ""empty / label"" that will be used as a training sample."
emptyMismatchDesc,"There is no current value and the model is suggesting a value. Accepting the suggestion will replace the current (empty) value and text selection with the suggested ones becoming a ""match / label"" that will be used as a training sample. Alternatively you can ignore the suggestion and click to fill the text selection so it becomes a ""mismatch / label"" that will be used as a training sample."
Enable this page to be used as an entity view page:,Bu sayfayı varlık görünümü sayfası olarak kullanmak için etkinleştirin:
Enter the 6-digit verification code generated by your Authenticator app:,"""Authenticator"" uygulamanız tarafından oluşturulan 6 haneli doğrulama kodunu girin:"
Entities,Varlıklar
entities,Varlıklar
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.",Varlıklar özel bir sayfada görüntülenebilir. Bunun için Sayfalar'da özel bir sayfa oluşturulmalı ve ardından burada seçilmelidir.
Entity,Varlık
Entity deleted,Entity deleted
Entity saved,Entity saved
Entity types,Varlık türü
Entity updated,Entity updated
Error,Hata
Expand all,Expand all
Exploration,Arama
Export CSV,CSV'yi dışa aktar
Exporting entities to CSV,Varlıkları CSV'ye dışa aktarma
Extension Token,Extension Token
Extract information from your documents,Belgelerinizden bilgi ayıklayın
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads.
2. Copy its URL.
3. Choose ""Custom Icon"" and paste the URL in the indicated field.
4. Reload the page to see your favicon in action."
FEATURED,FEATURED
File,Dosya
File deleted,File deleted
File updated,File updated
Fill,Doldur
Filters,Filtreler
Filters AND operator,VE
Filters configuration,Filtreler
Filters configuration description,"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:"
Filters configuration example,Filtreler Yapılandırma Örneği
Filters OR operator,YA DA
Find,Bul
Find suggestions,Find suggestions
Finding suggestions,Finding suggestions
Fine tune,İnce ayar
Firefox extension store link,Firefox extension store link
Fit,Yerleştirmek
Flag,İşaretle
"For better performance, upload your files in batches of 50 or less.",Daha iyi performans için dosyalarınızı 50 veya daha az sayıda toplu olarak yükleyin.
Forgot Password?,Parolanızı mı unuttunuz?
Forms and email configuration,Formlar ve e-posta yapılandırması
Full edit mode,Tam düzenleme modu
General,Genel
Global CSS,Genel CSS
Google Analytics,Google Analytics
Google Analytics ID,Google Analytics Kimliği
Google Maps,Google Maps
Group,Group
Group created,Group created
Group deleted,Group deleted
Group updated,Group updated
Groups,Gruplar
help,yardım
here,here
Hide label,Etiketi Gizle
https://yourdomain,https://yourdomain
hubs,hubs
Hybrid,Hybrid
Icon,Simge
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Harici bir URL ise, tam olarak oluşturulmuş bir URL kullanın: http://www.uwazi.io."
"If you want to continue, please type","Devam etmek istiyorsanız, lütfen yazın"
Impact of property change warning,All entities and documents that have already this property assigned will loose its current value
Import,İçe aktar
Import completed:,İçe aktarma tamamlandı:
Import CSV,CSV'yi içe aktar
Import instructions,Talimatları içe aktar
Imported entities from file,Imported entities from file
Imported translations from file,Imported translations from file
Importing data in progress,İçeri veri aktarma devam etmekte
in,in
"In a group, either all relationships must have a hub or none of them.","In a group, either all relationships must have a hub or none of them."
In OCR queue,OCR kuyruğunda
incorrect suggestion check,Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes
Indexing entities may take a few minutes,Varlıkların diznlenmesi birkaç dakika sürebilir
Info,Bilgi
Information extraction training,Information extraction training
Inherit property,Inherit property
Install browser extension (dynamic link),Install browser extension (dynamic link)
INSTALL the browser extension,INSTALL the browser extension
Install the Google Authenticator app on your mobile device,Google Authenticator uygulamasını mobil cihazınıza yükleyin
"Instructions to reset your password have been sent, please check your email","Instructions to reset your password have been sent, please check your email"
internal URL tip,"If it is an internal URL within this website, be sure to delete the first part"
Invalid captcha,Geçersiz güvenlik kodu
Invalid csv: all the values for a row must be either nested or non-nested,Invalid csv: all the values for a row must be either nested or non-nested
Invalid csv: nested value need to be under a non-nested value,Invalid csv: nested value need to be under a non-nested value
Invalid email,Geçersiz e-posta
Invalid form,geçersiz form
Invalid home page url,Invalid home page url
It could also very easily break the app. Only write code here if you know exactly what you are doing.,Ayrıca uygulamayı çok kolay bozabilir. Buraya sadece tam olarak ne yaptığınızı biliyorsanız kod yazın.
Items:,Öğeler:
Keep this in mind if you want to edit:,Keep this in mind if you want to edit:
key,Turkish
Label,Etiket
"Label date ""From""",Başlangıç: 
"Label date ""to""",Son:
Label more documents,Daha fazla belge etiketleyin
Label your collection note,Koleksiyon notunuzu etiketleyin
labelEmptyDesc,It has a current value and a text selection matching with the model suggested value and selection. It will be used as a training sample.
labelMatchDesc,It has a current value and a text selection matching with the model suggested value and selection. It will be used as a training sample.
labelMismatchDesc,"It has a current value and text selection but they do not match the model prediction. Accepting the suggestion will replace the current value and text selection with the suggested ones becoming a ""match / labeled"". If the labeled data is correct and the suggestion is wrong no action is needed. It will be used as a training sample."
Landing page,Açılış sayfası
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage
      "
Language,Dil
Language deleted,Dil silindi
language?,Diller
Languages,Diller
Last updated,Last updated
Latitude,Enlem
Learn more,Daha fazla bilgi edin
Learning...,Öğreniyor...
leaving only a relative URL starting with a slash character. Ie. /some_url.,yalnızca eğik çizgi karakteriyle başlayan göreli bir URL bırakarak. /some_url.
Legend,Gösterge
Lengthy reindex process,Lengthy reindex process
Library,Kütüphane
library list view,kütüphane listesi görünümü
library map view,kütüphane harita görünümü
library table view,kütüphane tablo görünümü
linked,bağlantılı
Live translate,Live translate
Loading,Loading
Login,Giriş
Login button,Giriş
Login failed,Giriş başarısız
Logout,Çıkış
Longitude,Boylam
Lost connection to the server. Your changes may be lost,Lost connection to the server. Your changes may be lost
low,düşük
Manage site settings and configuration,Site ayarlarını ve yapılandırmasını yönetin
Map,Harita
Map api key tooltip,An API key is required to use Mapbox or Google Maps.
Map view,Harita görünümü
MapBox,MapBox
Mapping conflict error,"A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?"
Maps,Haritalar
Mark as Reviewed,İncelendi olarak işaretle
Markdown,Not et
Match / Label,Match / Label
Match / Value,Match / Value
Matching,Matching
Matomo Analytics,Matomo Analytics
Members,Üyeler
Menu,Menü
Message,Mesaj
Message sent,Message sent
Metadata,Meta veri
Metadata creator,Meta veri oluşturucu
Metadata Extraction,Meta veri özütleme
Metadata extraction dashboard,Meta veri özütleme panosu
Metadata to extract,Özütlenecek meta veri
MIGRATE,MIGRATE
Minimum,Minimum
Mismatch / Empty,Mismatch / Empty
Mismatch / Label,Mismatch / Label
Mismatch / Value,Mismatch / Value
mismatched passwords,Passwords don't match
Mixed access,Karma erişim
ML TOC,ML TOC
Month,Ay
more options.,daha fazla seçenek.
Multimedia fill description,"will attempt to fill the container, using it's entire width. In cards, cropping is likely to occur."
Multimedia fit description,will show the entire media inside the container.
Multiple date,Multiple date
Multiple date range,Multiple date range
Multiple relationships edit description,Making changes to this property will affect other properties on this template because they all share relationships with the same configuration.
Multiple select,Multiple select
Name,Ad
Name is required,Ad gerekli
Name is too long,Ad çok uzun
Name is too short,Ad çok kısa
Name of the group,Grubun adı
Narrow down your searches,Aramalarınızı daraltın
Narrow your search,Aramanızı daraltın
New entity,Yeni varlık
New language added,Yeni dil eklendi
New password,Yeni parola
New relationships group,Yeni ilişkiler grubu
Next,Sonraki
No,Hayır
No attachments,Ek yok
No common filters,Ortak filtre yok
No Connections,Bağlantı yok
No Connections description,Connections are the direct relationships between this document and other documents and entities.
No Documents found,Belge bulunamadı
no filters for templates,The combination of entity types doesn't have any filters in common.
No icon / flag,Simge/İşaret yok
No Label,Etiket yok
No options found,Seçenek bulunamadı
No property,Mülk yok
No References,Referans Yok
No References description,References are parts of this document related with other documents and entities.
No relationship types warning,Relationship fields can not be added until you have at least one relationship type to select.
No Relationships,İlişki yok
No Relationships description,Relationships are bonds between entities.
No Table of Contents,İçerik Tablosu yok
No Table of Contents description,İçerik Tablosu Yok Açıklama
No text match,Metin Eşleşmesi Yok
No text match description,You can type something different in the search box to get some results.
No type,Tür yok
No value,Değer yok
No Value,Değer yok
Non-matching,Non-matching
Normal view,Normal görünüm
Nothing to see here! The selected documents are not using the selected thesaurus,"Burada görülecek bir şey yok! Seçilen belgeler, seçilen Thesaurus'u kullanmıyor."
Number of sentences above threshold,Eşiğin üzerindeki cümle sayısı
Obsolete,Obsolete
obsoleteDesc,A new model is training and processing suggestions. This suggestion was created by a previous model so no actions are possible until the new suggestion is received.
OCR,OKT
OCR button tip,This will process the document to recognize it's text. The original file will be added as a supporting file.
OCR completed,OKT tamamlandı
OCR description tip 1,"This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data."
OCR description tip 2,"When activated, this will enable administrator and editor users to send PDF documents to the OCR service."
OCR error,OKT hatası
OCR error tip,The OCR engine couldn't read the document due to a malformed format. Last updated
OCR PDF,OKT PDF
of,nın-nin
Ok,Tamam
Only allowed users will be able to see them,Yalnızca izin verilen kullanıcılar bunları görebilir
"Only text, number and date properties are currently supported","Only text, number and date properties are currently supported"
Ooops... please go,Ooops... lütfen şuraya gidin
Oops! We couldn't find the thesaurus you're trying to edit. Try navigating back to this page through Settings.,Oops! Düzenlemeye çalıştığınız Thesaurus'u bulamadık. Ayarlar aracılığıyla bu sayfaya geri dönmeyi deneyin.
Open PDF,Open PDF
Open the two-factor Authenticator app on your device,Cihazınızda iki faktörlü Kimlik Doğrulayıcı uygulamasını açın
or,ya da
or drop your files here.,veya dosyalarınızı buraya bırakın.
Or enter this secret key into your Authenticator app,Veya bu gizli anahtarı Authenticator uygulamanıza girin
Order,Düzen
Other,Diğer
other,Diğer
out of,dışında
Page,Sayfa
Page Javascript,Sayfa Javascript
Pages,Sayfalar
Password,Parola
Password changed success,Password changed success
Password Error,Şifre hatası
Password is too long,Parola çok uzun
Password updated,Parola güncellendi
PDF,PDF
per page,per page
Permission,İzin
Permission on entities explicitly shared with the user,Kullanıcıyla açıkça paylaşılan varlıklara ilişkin izin
Permissions,İzinler
Plain text,Düz metin
Please contact an admin for details.,Ayrıntılar için lütfen bir yöneticiyle iletişime geçin.
Please type in letters and numbers from the image to start the export.,Dışa aktarmayı başlatmak için lütfen resimdeki harfleri ve sayıları girin.
Precision,Kesinlik
Preserve,Preserve
Preserve Extension,Preserve Extension
Preserve Setup Description,"If you know your Uwazi URL and TOKEN click the link below, and fill the required information."
Press enter to add,Eklemek için enter'a basın
Preview,Ön izleme
Previous,Önceki
Primary Documents,BİRİNCİL BELGELER
Priority sorting,Öncelik sıralaması
Priority sorting description,"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
private,özel
Private instance,Özel oluşum
Processing,İşleniyor
Properties,Özellikler
Properties from other templates in the collection using the same label,Koleksiyondaki aynı etiketi kullanan diğer şablonlardaki özellikler
Property as default filter description,"Use this property as a default filter in the library. When there are no entity types selected, this property will show as a default filter for your collection."
Property as filter description,"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
property date,Date
property daterange,Date Range
Property delete warning,Deleting a template property will delete this metadata information on all entities using this template.
property generatedid,Generated ID
property geolocation,Geolocation
property image,Image
property link,Link
property markdown,Rich Text
property media,Media
property multidate,Multi Date
property multidaterange,Multi Date Range
property multiselect,Multiselect
property numeric,Numeric
property preview,Preview
property relationship,Relationship
property select,Select
property text,Text
Protect your account,Hesabınızı Koruyun
Protection,Koruma
ProTip!,Uzman İpucu!
public,açık
Public Endpoints,Public Endpoints
Public form settings description,Here you can configure the public form destination and the whitelisted templates
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Publish,Yayınla
Published,Yayınlanan
Query,Sorgulama
Quick labeling for,Hızlı etiketleme
RAW,RAW
Re-uploaded document,Re-uploaded document
Receiving email,Receiving email
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
References,Referanslar
Reject,Reddet
Relationship,İlişki
relationship consistency warning,Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.
Relationship Type,Relationship Type
Relationship types,İlişki türleri
relationships,İlişkiler
Relationships,İlişkiler
Relationships saved,Relationships saved
RelationType saved,İlişki türü kaydedildi
Remove,Kaldır
remove icon,simgeyi kaldır
Removed language,Removed language
Rename,Yeniden adlandır
Renamed attachment,Renamed attachment
Repeat Password,Parolayı yinele
Request id #,Kimlik numarası iste #
Request token,Request token
Required property,Gerekli özellik
Reset,Sıfırla
Reset 2FA,İki Adımlı Doğrulama'yı sıfırla
Reset default translation,Reset default translation
Reset Password,Parolayı sıfırla
Restricted,Kısıtlanmış
Return to login,Girişe dön
Return to the thesaurus page when you finished labeling to start learning.,Öğrenmeye başlamak için etiketlemeyi bitirdiğinizde Thesaurus sayfasına dönün.
Review,Review
Review unpublished document,Yayınlanmamış belgeyi inceleyin
Reviewed,İncelendi
Reviewing,Reviewing
Role,Rol
Route,Rota
Sample,Örnek
Satellite,Satellite
Save,Kaydet
Save and go to next,Kaydet ve sonrakine git
Save changes,Değişiklikleri kaydet
Save document,Belgeyi kaydet
Save document(s),Belgeyi/Belgeleri kaydet
Save password,Parolayı kaydet
Save your work to make change permanent,Save your work to make change permanent
Saved successfully.,Saved successfully.
Saved template configurations for suggestions,Saved template configurations for suggestions
Search,Ara
Search item,Öğe ara
Search not found,Arama bulunamadı
Search related entities or documents,İlgili varlıkları veya belgeleri arayın
Search relevance,Alaka arama
Search text,Metin ara
Search text description,Type something in the search box to get some results.
Search Tips,Arama ipuçları
Search Tips: boolean,Arama İpuçları: Boolean
Search Tips: exact term,Arama İpuçları: Tam terim
Search Tips: one char wildcard,Arama İpuçları: Bir Char Wildcard
Search Tips: proximity,Arama İpuçları: Yakınlık
Search Tips: wildcard,Arama İpuçları: Wildcard
secret key recommendation,(please keep this key secret and don't share it):
Select all,Hepsini seç
Select files on your device,Cihazınızdaki dosyaları seçin
Select from computer,Select from computer
Select relationship type,İlişki türü seç
Select target paragraph,Hedef paragraf seç
Select...,Seç...
selected,seçilmiş
selected of,arasından seçildi
Semantic search,Anlamsal Arama
Semantic Search,Anlamsal Arama
Semantic search minimum sentences help,Anlamsal Arama Minimum Cümleler Yardım
Semantic search overview,Anlamsal Arama Genel Bakış
Semantic search results,Anlamsal arama sonuçları
Semantic search threshold help,Anlamsal arama eşiği yardımı
Send,Gönder
Send recovery email,Kurtarma e-postası gönder
Sending email,Sending email
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sending labeled data...,Sending labeled data...
Sentences above threshold,Eşik üstünde cümle
Services,Services
Set as default,Varsayılan olarak ayarla
Set default language,Set default language
Set default template,Set default template
Set the default starting point for your geolocation properties.,Coğrafi konum özellikleriniz için varsayılan başlangıç noktasını ayarlayın.
Settings,Ayarlar
settings,Ayarlar
Settings updated,Ayarlar güncellendi.
Share,Paylaş
Share edit access with other users,Share edit access with other users
Share entities with the public,Share entities with the public
Share with people and groups,Kişiler ve gruplarla paylaşın
Shared as editor,Editör olarak paylaş
Shared as viewer,Görüntüleyici olarak paylaş
Show cookie policy,Çerez politikasını göster
Show filters,Filtreleri göster
Show in cards,Fişte göster
Show more,Daha fazla göster
Show Suggestions,Önerileri Göster
shown of,gösterilen
Sign in,Oturum aç
Single date,Single date
Single date range,Single date range
Single relationships must have a hub,Single relationships must have a hub
Single select,Single select
Size,Boyut
Something went wrong,Bir şey ters gitti
Sort,Sırala
Sort by,Sırala
sorted by,şuna göre sıralandı:
State,State
State Legend,State Legend
Streets,Streets
Strict mode,Sıkı mod
Style,Stil
Submit,Gönder
Submitted entity to a remote instance,Submitted entity to a remote instance
Submitting,Submitting
Success,Success
"Success, Upload another?","Success, Upload another?"
Suggested labels description,"Uwazi has suggested labels for your collection. Review them using the ""View suggestions"" button next to each topic. Disable suggestions with the ""Show suggestions"" toggle."
Suggestion,Suggestion
Suggestions,Öneriler
Supporting files,Destekleyici belgeler
Synced template,Synced template
syncedTemplateEditorMessage,This template is synced from another instance. Only entity view page can be enabled.
syncedTemplateListMessage,The source of this template is a sync. All editing options will be disabled.
syntax to create page content,sayfa içeriği oluşturmak için sözdizimi
System translations,System translations
Table,Tablo
Table of Contents,İçindekiler
Table of contents,İçindekiler
Table view,Tablo görünümü
Template,Şablon
Template conflict,Template conflict
Template with a long number of entities,"The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?"
Templates,Şablonlar
Text,Metin
