Key ,Russian
Copy link,Скопировать ссылку
Copy properties to this entity from,Скопировать свойства к этому объекту из
Create,Создать
Create Entity,Создать объект
Currently connections only need a title.,В настоящий момент для подключений только требуется заголовок
Custom Uploads,Пользовательские загрузки
Custom component error,Ошибка пользовательского компонента
Custom styles,Пользовательские стили
Data imported,Данные импортированы
Date modified,Дата изменена
Day,День
Default language,Язык по умолчанию
Default language change success,Изменение языка по умолчанию прошло успешно
Default language description,Описание языка по умолчанию
Default template,Шаблон по умолчанию
Delete Group,Удалить группу
Delete Property,Удалить свойство
Delete User,Удалить пользователя
Description,Описание
Discard,Отказаться
Display entity view from page,Показывать просматриваемый объект со страницы
Document,Документ
Document Title,Название документа
Document contents,Содержание документа
Documentation,Документация
Documents for custom filter,Документы для пользовательского фильтра
Documents including suggestion:,"Документы, включая предлагаемый вариант"
Documents to be reviewed,Документы на рассмотрение
Download,Скачать
Drag and drop file in this window to upload,"Перетащите и опустите файл в это окно, чтобы загрузить"
Drag items here,Перетащите элементы сюда
Drag properties here,Перетащите свойства сюда
Drop your files here to upload or,"Опустите свои файлы сюда, чтобы загрузить или"
Duplicated email,Продублированный адрес электронной почты 
Duplicated label,Продублированная метка
Duplicated username,Продублированное имя пользователя 
Edit all documents matching this criteria,"Отредактируйте все документы, соответствующие этим критериям"
Email is required,Требутся электронная почта
Enable this page to be used as an entity view page:,Сделайте эту страницу доступной для использования в качестве страницы для просмотра объекта:
Enter the 6-digit verification code generated by your Authenticator app:,"Введите 6-значный код подтверждения, сгенерированный вашим приложением Authenticator:"
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.","Объекты могут быть отображены на пользовательской странице. Для этого пользовательская страница должна быть создана в Страницах, а затем выбрана здесь. "
Entity,Объект
Entity types,Типы объектов
Error,Ошибка
Exploration,Изучение
Export CSV,Экспортировать CSV
Exporting entities to CSV,Экспортировать объекты в CSV
Extract information from your documents,Извлечь информацию из ваших документов
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads.
2. Copy its URL.
3. Choose ""Custom Icon"" and paste the URL in the indicated field.
4. Reload the page to see your favicon in action."
File,Файл
Fill,Заполнить
Filters configuration description,Описание конфигураций фильтров
Filters configuration example,Пример конфигураций фильтров
Find,Найти
Fine tune,Тонкая настройка
Fit,Приспособить
"For better performance, upload your documents in batches of 50 or less.","Для улучшения производительности, загрузите свои документы по партиям в 50 или менее. "
"For better performance, upload your files in batches of 50 or less.","Для улучшения производительности, загрузите свои файлы по партиям в 50 или менее. "
Forms and email configuration,Настройка форм и электронной почты
Full edit mode,Режим полного редактирования
General,Общий
Global CSS,Глобальные CSS
Groups,Группы
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,"Здесь вы можете настроить контакты электронной почты и адрес электронной почты, которые появляются, когда Uwazi отправляет уведомление пользователю"
Hold shift to rotate the map,"Удерживайте shift, чтобы вращать карту "
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Если это внешний URL, используйте полностью сформированный URL. Т. е. http://www.uwazi.io."
"If it is an internal URL within this website, be sure to delete the first part","Если это внутренний URL этого сайта, то удостоверьтесь в том, что вы удалили первую часть"
"If you want to continue, please type","Если вы хотите продолжить, пожалуйста, введите"
Import,Импортировать
Import CSV,Импортировать CSV
Import completed:,Импорт завершен:
Import instructions,Инструкции по импорту
Importing data in progress,Импорт данных в ходе выполнения
Improve the quality of this topic's suggestions by finding more sample documents with this label.,"Улучшите качество предложений по этой теме, отыскав больше образцов документов с помощью этой метки"
Indexing entities may take a few minutes,Индексация объектов может занять несколько минут
Inherit property,Перенять свойство
Install the Google Authenticator app on your mobile device,Установите приложение Google Authenticator на своем мобильном устройстве
Instructions to reset user password have been sent,Инструкции для сброса пароля пользователя были отправлены
Invalid captcha,Неверная Captcha
Invalid email,Неверный адрес электронной почты
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,"Некорректное предложение? Нажмите на ""Отклонить"" и Uwazi усовершенствует предлагаемые варианты"
It could also very easily break the app. Only write code here if you know exactly what you are doing.,"Это также может с легкостью нарушить работу приложения. Введите код только в случае, если точно знаете, что делаете. "
Items:,Элементы
Label,Метка
Label more documents,Пометьте больше документов
Label your collection note,Отметьте вашу примечание к коллекции
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage
      "
Language deleted,Язык удален
Languages,Языки
Latitude,Широта
Learn more,Узнать больше
Learning...,Освоение...
Legend,Подпись
Longitude,Долгота
ML TOC,Оглавление для машинного обучения
Map,Карта
Maps,Карты
Mark as Reviewed,Отметить как Просмотрено
Markdown,Markdown
Members,Участники
Message,Сообщение
Metadata Extraction,Извлечение метаданных
Metadata creator,Создатель метаданных
Metadata extraction dashboard,Панель управления для извлечения метаданных
Metadata to extract,Метаданные для извлечения
Mixed access,Доступ смешанного типа
Month,Месяц
Multimedia fill description,Описание мультимедийного наполнения
Multimedia fit description,Описание подгонки мультимедиа
Multiple relationships edit description,Описание редактирования нескольких отношений
Name is required,Требуется имя
Name is too long,Имя слишком длинное
Name is too short,Имя слишком короткое
Name of the group,Имя группы
Narrow down your searches,Сузьте область своего поиска
Narrow your search,Ограничить свой поиск
New language added,Добавлен новый язык
New relationships group,Группа новых взаимосвязей
Newest,Самый новый
Next,Следующий
No Documents found,Документы не найдены
No Table of Contents,Нет оглавления
No attachments,Нет вложений
No icon / flag,Нет иконки/флажка
No relationship types warning,Предупреждение об отсутствии типов взаимосвязей
Normal view,Нормальный вид
Nothing to see here! The selected documents are not using the selected thesaurus,Здесь ничего нет! Выбранный предметный указатель не задействован для выбранных документов
Number of sentences above threshold,Количество предложений выше порога
Ok,Окей
Oldest,Наиболее давний
Only allowed users will be able to see them,Только разрешенные пользователи могут увидеть их
Ooops... please go,Упс... Просим вас уйти
Oops! We couldn't find the thesaurus you're trying to edit. Try navigating back to this page through Settings.,"Упс! Мы не смогли найти предметный указатель, который вы пытаетесь отредактировать. Попробуйте обратную навигацию вплоть до этой страницы через Настройки."
"Open the app and select ""Add Account"" (usually a plus symbol)","Откройте приложение и выберите ""Добавить учетную запись"" (обычно символ ""плюс"")"
Open the two-factor Authenticator app on your device,Откройте приложение для двухфакторной аутентификации на вашем устройстве
Or enter this secret key into your Authenticator app,Или введите этот секретный ключ в вашем приложении для аутентификации
PRIMARY DOCUMENTS,ОСНОВНЫЕ ДОКУМЕНТЫ
Page,Страница
Page Javascript,Страница Javascript
Password is too long,Пароль слишком длинный
Passwords don’t match,Пароли не совпадают
Permission,Разрешение
Permission on entities explicitly shared with the user,"Разрешение на объекты, которыми поделились с пользователем"
Permissions,Разрешения
Plain text,Обычный текст
Please contact an admin for details.,"Пожалуйста, свяжитесь с администратором для выяснения деталей."
Please type in letters and numbers from the image to start the export.,"Пожалуйста, введите буквы и цифры с изображения для того, чтобы начать экспорт. "
Precision,Точность
Press enter to add,"Нажмите Enter, чтобы добавить"
Preview,Предварительный просмотр
Previous,Предыдущий
Priority sorting,Приоритетная сортировка
Priority sorting description,Описание приоритетной сортировки
ProTip!,Профессиональная подсказка!
Processing,Обработка
Properties,Свойства
Properties from other templates in the collection using the same label,"Свойства из других шаблонов в коллекциях, использующих ту же метку"
Property as default filter description,Свойство как описание фильтра по умолчанию
Property as filter description,Свойство как описание фильтра 
Property delete warning,Предупреждение об удалении свойства
Protect your account,Защитите свою учетную запись
Protection,Защита
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form settings description,Описание настроек общедоступной формы
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Published,В открытом доступе
Query,Запрос
Quick labeling for,Быстрая маркировка для
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
Reject,Отклонить
Remove,Удалить
Rename,Переименовать
Repeat Password,Повторите пароль
Request id #,Запрос ID #
Required property,Необходимое свойство
Reset 2FA,Сбросить 2FA
Reset Password,Сбросить пароль
Restricted,Для ограниченного круга лиц
Return to login,Вернуться к авторизации
Return to the thesaurus page when you finished labeling to start learning.,"После завершения маркировки, вернитесь на страницу с предметными указателями, чтобы начать обучение. "
Review unpublished document,Просмотреть неопубликованный документ
Reviewed,Просмотрено
Route,Маршрут
Sample,Образец
Save User,Сохранить пользователя
Save and go to next,Сохранить и перейти к следующему
Save changes,Сохранить изменения
Save document,Сохранить документ
Save document(s),Сохранить документ(ы)
Save password,Сохранить пароль
"Scan the following QR code selecting the ""scan barcode"" option:","Отсканируйте следующий QR-код, выбрав опцию ""отсканируйте штрих-код"":"
Search not found,Поиск ничего не выявил
Search tips,Поиск советов
Select all,Выбрать все
Select files on your device,Выбрать файлы на вашем устройстве
Select from files,Выбрать из файлов
Select relationship type,Выберите тип взаимосвязей
Select supporting file,Выберите сопроводительный файл
Select target paragraph,Выберите целевой абзац
Select...,Выбрать...
Semantic Search,Семантический поиск
Semantic search minimum sentences help,Справка о минимуме предложений для семантического поиска
Semantic search overview,Обзор семантического поиска
Semantic search results,Результаты семантического поиска
Semantic search threshold help,Справка о пороге для семантического поиска
Send,Отправить
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sentences above threshold,Предложения выше порога
Set as default,Установить по умолчанию
Set the default starting point for your geolocation properties.,Установить отправную точку по умолчанию для своих свойств геологации
Share,Поделиться
Share with people and groups,Поделиться с людьми и группами
Shared as editor,Поделились как с редактором
Shared as viewer,Поделились как со зрителем
Show Suggestions,Показать предложения
Show cookie policy,Показать политику cookie
Show filters,Показать фильтры
Some adavanced search features may not be available for this language.,Некоторые функции расширенного поиска могут быть недоступны для этого языка.
Something went wrong,Что-то пошло не так
Sort,Сортировать
Strict mode,Строгий режим
Style,Стиль
Submit,Отправить
Submiting,Отправляется
Suggested labels description,Описание предлагаемых меток
Suggestions,Предлагаемые варианты
Supporting files,Сопроводительные файлы
Table,Таблица
Table of Contents,Оглавление
Table view,Табличный вид
Template,Шаблон
Text references limit warning,Предупреждение о предельном размере текстовых отсылок
The combination of entity types doesn't have any filters in common.,Комбинация из типов объектов не имеет общих фильтров
The current model was trained at,Текущая модель была обучена в
"The first step is to label a sample of your documents, so Uwazi can learn which topics to suggest when helping you label your collection.","Первый шаг - отметить образец ваших документов, чтобы Uwazi мог узнать о темах, которые нужно предложить вам при помощи с маркировкой вашей коллекции. "
The import process threw an error:,Процесс импорта выдал ошибку:
The template contains errors,Шаблон содержит ошибки
There are no pages enabled for entity view,"Нет страниц с возможностями, предоставляемыми для просмотра объекта"
"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.","На этой пользовательской странице произошла неожиданная ошибка, поэтому она может работать со сбоями. Пожалуйста, свяжитесь с администратором для получения деталей"
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Эта область позволяет добавить пользовательский JavaScript на страницу. Это откроет большую сферу новых возможностей. 
This content is automatically generated,Этот контент генерируется автоматически
"This entity has no document, you probably want to see the metadata","У этого объекта нет документов, вы наверняка хотите увидеть метаданные "
This entity is not public.,Этот объект не является общедоступным.
This entity is restricted from public view.,Этот объект ограничен для общедоступного просмотра. 
This option will show a notification about the use of cookies in your instance.,Эта опция покажет уведомление об использовании файлов cookie в вашей базе данных. 
This property will appear in the library cards as part of the basic info.,Этот объект появится в карточках библиотеки как часть основной информации. 
This property will be inherited from the related entities and shown as metadata of this type of entities.,Это свойство будет приобретено от взаимосвязанных объектов и отображаться как метаданные для этого типа объектов. 
This property will be shown using all the width available.,Это свойство будет отображаться с использованием всей доступной ширины. 
This property will be shown without the label.,Это свойство будет отображаться без метки. 
This template will be used as default for new entities.,Этот шаблон будет использоваться по умолчанию для новых объектов.
Threshold,Порог
Time,Время
"To bring you a better experience, this site uses cookies.","Этот сайт использует файлы cookie для того, чтобы улучшить ваш опыт взаимодействия с сайтом.  "
"To complete the account creation process, please create a password for your account","Пожалуйста, создайте пароль для того, чтобы завершить процесс создания своей учетной записи."
To get resource from web:,Чтобы получить ресурс из веб:
Train model,Учебная модель
Try selecting other documents.,Попробуйте выбрать другие документы. 
Two-factor verification failed,Двухфакторная верификация не удалась.
Two-step verification,Двухфакторная верификация
URL,URL
Upload PDF,Загрузить PDF
Upload PDF(s) to create,"Загрузить PDF, чтобы создать"
Upload a ZIP or CSV file.,Загрузить ZIP или CSV file.
Upload and select file,Загрузить и выбрать файл
Upload from computer,Загрузить с компьютера
Uploading ...,Загрузка...
Uploading file,Загрузка файла
Use,Использовать
Username is required,Требуется имя пользователя
Username is too long,Имя пользователя слишком длинное
Username is too short,Имя пользователя слишком короткое
Using Google Authenticator,Использовать Google Authenticator
Uwazi UI,Uwazi UI
Uwazi is developed by,Uwazi разработан
"Uwazi is learning using the labelled documents. This may take up to 2 hours, and once completed you can review suggestions made by Uwazi for your collection.","Uwazi учится использовать документы с метками. Это может занять до 2 часов, а после завершения процесса вы сможете просмотреть предложения, подготовленные UWAZI для вашей коллекции."
Verify,Верифицировать
Verifying...,Верифицирование...
View suggestions,Просмотреть предложения
Warning: you are editing multiple entities. Fields marked with a,"Предупреждения: вы редактируете несколько объектов. Поля, отмеченные"
"We provide a default key, you can set your own MapTiler API key","Мы предоставляем ключ по умолчанию, вы можете установить свой собственный ключ MapTiler API"
We recommend labeling,Мы рекомендуем маркировку
Website analytics,Аналитические характеристики веб-сайта
Welcome to Uwazi,Добро пожаловать в Uwazi
"Well, this is awkward...","Что ж, это неловко..."
With great power comes great responsibility!,С большой силой приходит большая ответственность!
Year,Год
"You can also embed advanced components like maps, charts and entity lists in your page.","Вы также можете встроить такие продвинутые компоненты как карты, графики и списки объектов на вашей странице. "
You can also improve the model by providing more labeled documents.,"Вы также можете улучшить модель, предоставив больше маркированных документов. "
You can create metadata templates in,Вы можете создавать шаблоны метаданных в
You have labeled,Вы пометили
You have successfully configured two-step verification.,Вы успешно настроили двухступенчатую проверку. 
You should activate this feature for enhanced account security,Вам следует активировать эту функцию для усиления безопасности аккаунта
You won't be able to save an entity if this property is empty.,"Вам не удастся сохранить этот объект в случаях, если это свойство пустое. "
Your account is protected by 2fa.,Ваша учетная запись защищена 2FA. 
Zoom in,Увеличить масштаб
Zoom in library view,Увеличить масштаб просмотра библиотеки
Zoom out,Уменьшить масштаб
Zoom out library view,Уменьшить масштаб просмотра библиотеки
add icon,добавить иконку
affects,влияет
auto-created,автоматически созданный
created,созданный
documents before training (30 per topic).,документы до обучения (30 на каждую тему)
documents so far.,документы к настоящему моменту
documents.,документы.
help,помощь
https://yourdomain,https://вашдомен
landing page description,описание главной страницы
leaving only a relative URL starting with a slash character. Ie. /some_url.,оставив только относительный URL и начав с символа косой черты. Т. е. /some_url
library list view,просмотр библиотеки в виде списка
library map view,просмотр библиотеки в виде карты
library table view,просмотр библиотеки в табличном виде
linked,связанный
low,низкий
more options.,больше опций. 
or,или
or drop your files here.,или опустите свои файлы сюда.
out of,из
private,частный
public,публичный
remove icon,удалить иконку
selected of,выбран из
shown of,показано от
syntax to create page content,синтаксис для создания содержимого страницы
to learn more about the components.,"для того, чтобы узнать больше о компонентах."
to view your authentication code and verify your identity.,чтобы просмотреть свой код аутентификации и подтвердить свою личность.  
will be updated with the same value.,будет обновляться с тем же значением
with,с
OCR,Оптическое распознавание символов
Document OCR Trigger,Документировать запуск оптического распознавания символов
Unsupported OCR language,Неподдерживаемый язык оптического распознавания символов
OCR PDF,Оптическое распознавание символов PDF
In OCR Queue,В очереди на оптическое распознавание символов
OCR button tip:  This will process the document to recognize it's text. The original file will be added as a supporting file.,"Подсказка кнопки оптического распознавания символов: Это начнет обработку документа для того, чтобы распознать текст. Исходный файл будет добавлен в качестве сопроводительного файла."
OCR completed,Оптическое распознавание символов завершено
"OCR description tip 1: This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data.","Совет 1 по описанию оптического распознавания символов: Это активирует функцию оптического распознавания символов (OCR) для документов PDF. Этот сервис распознает текст внутри таких изображений как отсканированные документы и фотографии, а затем преобразует текст в машиночитаемые текстовые данные."
"OCR description tip 2 :  When activated, this will enable administrator and editor users to send PDF documents to the OCR service.",Совет 2 по описанию OCR: при активации это позволит пользователям-администраторам и пользователям-редакторам отправлять PDF-документы в службу оптического распознавания символов.
OCR error,Ошибка оптического распознавания символов
OCR error tip: The OCR engine couldn't read the document due to a malformed format. Last updated,Совет по ошибке оптического распознавания символов: модуль оптического распознавания символов не смог прочитать документ из-за неправильно сформированного формата. Последнее обновление 
Text,Текст
Numeric,Числовое
Select,Выбрать
Multi select,Выбрать из нескольких вариантов
Relationship,Взаимосвязь
Date,Дата
Date range,Диапазон дат
Multi date range,Диапазон нескольких дат
Rich Text,Форматированный текст
Link,Ссылка
Image,Изображение
Preview,Предварительный просмотр
Media,Медиа
Geolocation,Геолокация
Generated ID,Сгенерированный ID
Hide Label,Скрыть метку
Show in cards,Показать в карточках
"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo.","Если вы хотите отслеживать аналитику, связанную с посещениями вашей коллекции, Uwazi поддерживает как Google Analytics, так и Matomo."
Here you can configure the public form destination and the whitelisted templates,Здесь вы можете настроить назначение общедоступной формы и шаблоны из белого списка.
You can configure the URL of a different Uwazi to receive the submits from your Public Form,Вы можете настроить URL-адрес другого Uwazi для получения отправки из вашей общедоступной формы.
"If you wish to include a public form on your page, you must white-list the template by selecting it from the list. ","Если вы хотите добавить публичную форму на свою страницу, то вы должны добавить шаблон в ""разрешенные"", добавив его из списка. "
"This language will be used as default translation when adding new languages, and the default language for the site when no other language has been selected.","Этот язык будет использован в качестве перевода по умолчанию при добавлении новых языков и языка по умолчанию для сайта, в случаях когда ни один из других языков не выбран. "
"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:","По умолчанию, пользователи могут фильтровать объекты в библиотеке на основе типов, которые вы определили. Но вы сможете настроить то, как будут отображаться эти типы объектов: "
- Filters,- Фильтры
"- select ""Create group"" below to group filters under a label e.g (""Documents "" or ""People"")","- Выберите ""Создать группу"" ниже для группированных фильтров под меткой, например (""Документы"" или ""Люди"")"
FEATURED ,ОТОБРАЖАЕМЫЕ
ALL,ВСЕ 
Collection name,Название коллекции
Custom favicon,Пользовательский значок для вебсайта
Use custom landing page,Использовать пользовательскую целевую страницу
Google Analytics,Google Analytics
Matomo Analytics,Matomo Analytics
Contact Form,Форма обратной связи
Receiving email,Электронная почта получателя
Sending email,Электронная почта отправителя
Public Endpoints,Общедоступные конечные точки
Custom starting location,Пользовательское стартовое положение
Add user,Добавить пользователя
Create user,Создать пользователя
Cards view,Вид карточек
Create entity,Создать объект
Discard Changes,Отменить изменения
No label,Без метки
admin,администратор
collaborator,соавтор
viewer,зритель 
Add supported properties,Добавить поддерживаемые свойства
Apply to all languages,Применить ко всем языкам
Back to dashboard,Вернуться к приборной панели
Captcha bypass,Обход Captcha
