Key,Burmese
Document and entity types,စာရွက်စာတမ်းနှင့် ဖြည့်သွင်းချက် အမျိုးအစားများ
Document types,စာရွက်စာတမ်း အမျိုးအစားများ
Documents,စာရွက်စာတမ်းများ
documents,စာရွက်စာတမ်းများ
Downloads,ဒေါင်းလုဒ်များ
Duplicated name,ပွားထားသော အမည်
Edit,တည်းဖြတ်ရန်
Editor,အယ်ဒီတာ
Email,အီးမေးလ်
Email address,အီးမေးလ် လိပ်စာ
Email updated,အီးမေးလ် အပ်ဒိတ်လုပ်ပြီး
Entities,ဖြည့်သွင်းချက်များ
Filename label,ဖိုင်အမည် တံဆိပ်အမှတ်အသား
Filters,စစ်ထုတ်မှုများ
Filters AND operator,စစ်ထုတ်မှုများနှင့် အော်ပရေတာ
Filters configuration,စစ်ထုတ်မှုများ စနစ်ဖွဲ့စည်းမှု
Filters OR operator,စစ်ထုတ်မှုများ သို့မဟုတ် အော်ပရေတာ
Flag,အလံ
Forgot Password?,စကားဝှက် မေ့နေပါသလား။
Google Analytics ID,Google Analytics ID
hubs,ဟတ်ဘ်များ
Icon,အိုင်ကွန်
in,
Info,အချက်အလက်
Invalid form,ပုံစံ မှားနေသည်
"Label date ""From""","ရက်စွဲ ""မှ"" တံဆိပ်တပ်ပါ"
"Label date ""to""","ရက်စွဲ ""သို့"" တံဆိပ်တပ်ပါ"
Landing page,ရောက်ရှိမည့် စာမျက်နှာ
Language,ဘာသာစကား
Least recently,မကြာသေးမီကနှင့် အဝေးဆုံးဖြစ်သော
Library,စာကြည့်တိုက်
List view,စာရင်းပုံစံ မြင်ကွင်း
Login,လော့ဂ်အင်ဝင်ရန်
Login button,လော့ဂ်အင်ဝင်ရန် ခလုတ်
Login failed,လော့ဂ်အင်ဝင်၍ မရပါ
Logout,ထွက်ရန်
Mailer configuration,စာပို့သူ စနစ်တည်ဆောက်ပုံ
Manage site settings and configuration,ဝက်ဘ်ဆိုက် ဆက်တင်များနှင့် စနစ်တည်ဆောက်ပုံကို စီမံခန့်ခွဲရန်
Map view,မြေပုံ မြင်ကွင်း
MapTiler key,Maptiler ကီး
Maximum,အများဆုံး
Menu,မီနူး
Metadata,မီတာဒေတာ
Minimum,အနည်းဆုံး
My Files,ကျွန်ုပ်၏ ဖိုင်များ
Name,အမည်
Name connections,အမည် ချိတ်ဆက်မှုများ
New entity,ထည့်သွင်းချက်အသစ်
New password,စကားဝှက်အသစ်
No,မရှိပါ
No common filters,အသုံးများသော စစ်ထုတ်မှု မရှိပါ
No Connections,ချိတ်ဆက်မှု မရှိပါ
No Connections description,ချိတ််ဆက်မှု ဖော်ပြချက် မရှိပါ
No Label,တံဆိပ် မရှိပါ
No options found,ရွေးချယ်စရာ မရှိပါ
No property,ထူးခြားချက် မရှိပါ
No References,ကိုးကားချက် မရှိပါ
No References description,ကိုုးကားချက်များ ဖော်ပြချက် မရှိပါ
No Relationships,ဆက်နွှယ်မှု မရှိပါ
No Relationships description,ဆက်နွှယ်မှု ဖော်ပြချက် မရှိပါ
No Table of Contents,မာတိကာ မရှိပါ
No Table of Contents description,မာတိကာ ဖော်ပြချက် မရှိပါ
No text match,စာသား ကိုက်ညီမှု မရှိပါ
No text match description,စာသား ကိုက်ညီမှု ဖော်ပြချက် မရှိပါ
No type,အမျိုးအစား မရှိပါ
No value,တန်ဖိုးမရှိပါ
of,
Order,အစဉ်
Other,အခြား
Pages,စာမျက်နှာများ
Password,စကားဝှက်
Password Error,စကားဝှက် မှားနေသည်။
Password updated,စကားဝှက် အပ်ဒိတ်လုပ်ပြီး
Private documents,အဓိက စာရွက်စာတမ်းများ
Private instance,လျှို့ဝှက် အကြောင်းကိစ္စ
Public documents,အများမြင်နိုင်သော စာရွက်စာတမ်းများ
Publish,ထုတ်ဝေရန်
Recently,မကြာသေးမီက
References,ကိုးကားချက်များ
Relationship,ဆက်နွှယ်မှု
Relationship types,ဆက်နွှယ်မှု အမျိုးအစားများ
Relationships,ဆက်နွှယ်မှုများ
RelationType saved,RelationType သိမ်းဆည်းပြီး
Relevance,ဆီလျော်မှု
Reset,ပြန်လည်သတ်မှတ်ရန်
Role,အခန်းကဏ္ဍ
Save,သိမ်းဆည်းရန်
Search,ရှာဖွေရန်
Search connections,ချိတ်ဆက်မှုများကို ရှာရန်
Search item,အိုင်တမ် ရှာရန်
Search related entities or documents,သက်ဆိုင်ရာ ဖြည့်သွင်းချက် သို့မဟုတ် စာရွက်စာတမ်းများကို ရှာရန်
Search relevance,ရှာဖွေမှု ဆီလျော်ခြင်း
Search text,ရှာဖွေမှု စာသား
Search text description,ရှာဖွေမှု စာသား ဖော်ပြချက်
Search Tips: boolean,ရှာဖွေမှု အကြံပြုချက်များ- မှန်မှားဒေတာ
Search Tips: exact term,ရှာဖွေမှု အကြံပြုချက်များ- တိကျသော အသုံးအနှုံး
Search Tips: one char wildcard,ရှာဖွေမှု အကြံပြုချက်များ- စာလုံးတစ်ခု ပါဝင်ခြင်း
Search Tips: proximity,ရှာဖွေမှု အကြံပြုချက်များ- နီးစပ်မှု
Search Tips: wildcard,ရှာဖွေမှု အကြံပြုချက်များ- ပါဝင်မှု
Select list,စာရင်း ရွေးချယ်ရန်
selected,ရွေးချယ်ပြီး
Send recovery email,ပြန်လည်ရယူရန်အတွက် အီးမေးလ် ပို့ရန်
Separator,ခွဲခြားသည့်အရာ
Settings,ဆက်တင်များ
Settings updated,ဆက်တင်များ အပ်ဒိတ်လုပ်ပြီးပါပြီ။
Show more,ပိုမိုပြသရန်
Sign in,လက်မှတ်ထိုးဝင်ရန်
Size,အရွယ်အစား
Sort by,ဤသို့ အမျိုးအစားခွဲရန်
sorted by,ဤသို့ အမျိုးအစားခွဲထားသည်
Table of Contents,မာတိကာ
Templates,ပုံစံပြားများ
Text,စာသား
Thesauri,ဝေါဟာရပဒေသာကျမ်းများ
Thesaurus saved,ဝေါဟာရပဒေသာကျမ်း သိမ်းပြီး
This action will unselect all the entities.,ဤလုပ်‌ဆောင်ချက်သည် ဖြည့်သွင်းချက်အားလုံးကို ရွေးချယ်မှုဖျက်ပါမည်။
Title,ခေါင်းစဉ်
Tools,ကိရိယာများ
Translate,ဘာသာပြန်ရန်
Translations,ဘာသာပြန်ဆိုချက်များ
Translations saved,ဘာသာပြန်ဆိုချက်များ သိမ်းပြီး
Type,အမျိုးအစား
Update,အပ်ဒိတ်လုပ်ရန်
Upload documents and create entities,စာရွက်စာတမ်းများ အပ်လုဒ်လုပ်ပြီး ဖြည့်သွင်းချက်များ ဖန်တီးရန်
Uploading,အပ်လုဒ်လုပ်နေသည်
Uploads,အပ်လုဒ်များ
User,အသုံးပြုသူ
Username,အသုံးပြုသူ အမည်
Users,
View,ကြည့်ရန်
View in library,စာကြည့်တိုက်တွင် ကြည့်ရန်
x less,x လျော့
x more,x ပို
% of sentences above threshold,အနိမ့်ဆုံး သတ်မှတ်ချက် အထက်ရှိ ဝါကျ % (ရာခိုင်နှုန်း)
(please keep this key secret and don't share it):,(ကျေးဇူးပြု၍ ဤကီးကို လျှို့ဝှက်ထားပြီး မည်သူ့ကိုမျှ အသိမပေးပါနှင့်)-
(view page),(စာမျက်နှာ ကြည့်ရန်)
(+) click to select multiple cards,(+) ကတ်များကို ရွေးရန် နှိပ်ပါ
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.,1. ဝက်ဘ်ပေါ်ရှိ ရုပ်ပုံ သို့မဟုတ် ဗီဒီယိုပေါ်တွင် ညာဘက်ကလစ်နှိပ်ပြီး ထိုရုပ်ပုံ၏ URL ကို ကူးပါ။ တစ်နည်းအားဖြင့် ဝက်ဘ်ဆိုက်များတွင် သင် URL ရယူနိုင်သည့် မျှဝေရန် ခလုတ်ကို ကမ်းလှမ်းသည်။
2. Return here and paste the URL in this field (Ctrl+V or Command+V),2. ဤနေရာသို့ ပြန်လာပြီး URL ကို ဤအကွက်ထဲတွင် ကပ်ပါ (Ctrl+V သို့မဟုတ် Command+V)
A generated ID will be the default title.,ထုတ်ပေးသည့် ID သည် ပုံသေမူလ ခေါင်းစဉ် ဖြစ်ပါမည်။
Accept,လက်ခံမည်
Action,လုပ်ဆောင်ချက်
Activate this feature for enhanced account security,အကောင့်လုံခြုံရေး ပိုမိုကောင်းမွန်ခိုင်မာစေရန် ဤအပြင်အဆင်ကို သက်ဝင်လုပ်ဆောင်ပါ
Active Languages,သုံးနေသော ဘာသာစကားများ
Add / remove favorite,အကြိုက်ဆုံးကို ထည့်ရန် / ဖယ်ရှားရန်
Add date,ရက်စွဲ ထည့်ရန်
Add entities / documents,ဖြည့်သွင်းချက်များ / စာရွက်စာတမ်းများ ထည့်ရန်
Add from url,url မှ ထည့်ရန်
Add from web,ဝက်ဘ်မှ ထည့်ရန်
Add group,အုပ်စု ထည့်ရန်
Add people or groups,လူများ သို့မဟုတ် အုပ်စုများ ထည့်ရန်
Add resource,ရင်းမြစ် ထည့်ရန်
Add supporting file,အထောက်အကူပြုဖိုင် ထည့်ရန်
Add to table of contents,မာတိကာသို့ ထည့်ရန်
Add users,အသုံးပြုသူများ ထည့်ရန်
Adjacent geolocation properties will render on the same map,ကပ်လျက်ရှိသော ပထဝီတည်နေရာ အချင်းအရာမျာသည် မြေပုံတစ်ခုတည်းတွင် တပေါင်းတည်း ပါဝင်ပါမည်
Administrators and Editors,အက်မင်များနှင့် အယ်ဒီတာများ
"All changes will be lost, are you sure you want to proceed?",အပြောင်းအလဲအားလုံးကို ဆုံးရှုံးပါမည်၊ ရှေ့ဆက်လိုသည်မှာ သေချာပါသလား။
All entities and documents that have already this property assigned will loose its current value,ဤထူးခြားချက်ကို သတ်မှတ်ထားပြီးသော ဖြည့်သွင်းချက်များနှင့် စာရွက်စာတမ်းအားလုံးသည် လက်ရှိ တန်ဖိုးကို ဆုံးရှုံးပါမည်
An error has occured during data export,ဒေတာ တင်ပို့စဉ် ချွတ်ယွင်းချက် ဖြစ်ပေါ်ခဲ့သည်
Analytics description,ဒေတာ တင်ပို့စဉ် ချွတ်ယွင်းချက် ဖြစ်ပေါ်ခဲ့သည်
Anyone will be able to see them,မည်သူမဆို ၎င်းတို့ကို မြင်နိုင်ပါမည်
Authentication code,စစ်မှန်ကြောင်း အတည်ပြုကုဒ်
Auto-save,အော်တိုသိမ်းခြင်း
Automatic Table of Contents,အလိုအလျောက် မာတိကာ
Automatically generated,အလိုအလျောက် ထုတ်လုပ်ထားသည်
Available Languages,ရရှိနိုင်သော ဘာသာစကားများ
Back to,ပြန်သွားရန်
Back to search,ရှာဖွေမှုသို့ ပြန်သွားရန်
Back to thesauri,ဝေါဟာရပဒေသာကျမ်းများသို့ ပြန်သွားရန်
Back to thesaurus,ဝေါဟာရပဒေသာကျမ်းသို့ ပြန်သွားရန်
Body,စာကိုယ်
Browse files to upload,အပ်လုဒ်လုပ်ရန် ဖိုင်များကို ရှာဖွေပါ
Browse your PDFs to upload,အပ်လုဒ်လုပ်ရန် သင့် PDF များကို ရှာဖွေပါ
Can edit,တည်းဖြတ်နိုင်သည်
Can see,မြင်နိုင်သည်
Can view,ကြည့်နိုင်သည်
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,အမျိုးအစားတူညီသော အခြားဆက်နွှယ်မှုတွင် တိကျသော ဖြည့်သွင်းချက် ရှိပြီးဖြစ်ပါက 'နှစ်သက်ရာ ဖြည့်သွင်းချက် သို့မဟုတ် စာရွက်စာတမ်း' ကို သုံး၍မရပါ။
Captcha,ကက်ပ်ချာ
Cards,ကတ်များ
Cards View,ကတ်မြင်ကွင်း
Caution: the selected entities will be,သတိပြုရန်- ရွေးချယ်ထားသော အရာများမှာ
Change will take effect after saving the template,ပုံစံပြားကို သိမ်းဆည်းပြီးနောက် အပြောင်းအလဲ စတင်သက်ရောက်ပါမည်
Changing the type will erase all connections to this entity.,အမျိုးအစားကို သိမ်းဆည်းခြင်းက ဤပါဝင်သည့်အရာနှင့် ချိတ်ဆက်မှုအားလုံးကို ဖျက်ပစ်ပါမည်။
Character support description,"This option enhances support for non-Latin languages as the default languages of your collection.
Character support process warning,စာလုံး ပံ့ပိုးမှု လုပ်ငန်းစဉ် သတိပေးချက်
Character support revert warning,စာလုံး ပံ့ပိုးမှု ပြောင်းပြန်လုပ်ခြင်း သတိပေးချက်
Check to make this instance private (only logged-in users can access the data),ဤအကြောင်းအရာကို လျှို့ဝှက်အဖြစ် ပြုလုပ်ရန် အမှန်ခြစ်ပါ (လော့ဂ်အင်ဝင်ထားသော အသုံးပြုသူများကသာ ဒေတာ ဝင်ရောက်သုံးစွဲနိုင်သည်)
Clear Filters,စစ်ထုတ်မှုများကို ရှင်းလင်းရန်
Clear coordinates,ကိုဩဒိနိတ်များကို ရှင်းလင်းရန်
Click here,ဒီမှာ နှိပ်ပါ
Click to fill,ဖြည့်ရန် နှိပ်ပါ
Close,ပိတ်ရန်
Collaborator,ပူးပေါင်းဆောင်ရွက်သူ
Configure suggestions,အကြံပြုချက်များကို ချိန်ညှိပါ
Confirm deletion,ဖျက်ရန် အတည်ပြုပါ
Confirm publish multiple items,အရာများစွာကို တင်ရန် အတည်ပြုပါ
Congratulations!,ဂုဏ်ယူပါသည်။
Connect to a document,စာရွက်စာတမ်းနှင့် ချိတ်ဆက်ရန်
Connect to a paragraph,စာပိုဒ်နှင့် ချိတ်ဆက်ရန်
Conversion failed,ပြောင်းလဲခြင်း မအောင်မြင်ပါ
Copy From,ဤမှ ကူးပါ
Copy Highlighted,အရောင်ခြယ်ထားသည်ကို ကူးပါ
Copy link,လင့်ခ်ကို ကူးပါ
Copy properties to this entity from,ဤဖြည့်သွင်းချက်သို့ ထူးခြားချက်များကို ဤမှ ကူးပါ
Create,ဖန်တီးရန်
Create Entity,ပါဝင်သည့်အရာ ဖန်တီးရန်
Currently connections only need a title.,လက်ရှိတွင် ချိတ်ဆက်မှုအနည်းငယ်သာ လိုအပ်သည်။
Custom Uploads,စိတ်ကြိုက် အပ်လုဒ်များ
Custom component error,စိတ်ကြိုက် အစိတ်အပိုင်း ချွတ်ယွင်းချက်
Custom styles,စိတ်ကြိုက် စတိုင်များ
Data imported,ဒေတာ ထည့်သွင်းပြီး
Date modified,ရက်စွဲ ပြင်ဆင်ပြီး
Day,နေ့
Default language,ပုံသေမူလ ဘာသာစကား
Default language change success,ပုံသေမူလ ဘာသာစကား ပြောင်းလဲမှု အောင်မြင်ပါသည်
Default language description,ပုံသေမူလ ဘာသာစကား ဖော်ပြချက်
Default template,ပုံသေမူလ ပုံစံပြား
Delete Group,အုပ်စု ဖျက်ရန်
Delete Property,ထူးခြားချက် ဖျက်ရန်
Delete User,အသုံးပြုသူ ဖျက်ရန်
Description,ဖော်ပြချက်
Discard,ပယ်ရန်
Display entity view from page,စာမျက်နှာမှ ဖြည့်သွင်းချက် မြင်ကွင်းကို ပြသရန်
Document,စာရွက်စာတမ်း
Document Title,စာရွက်စာတမ်း ခေါင်းစဉ်
Document contents,စာရွက်စာတမ်း မာတိကာ
Documentation,စာရွက်စာတမ်း
Documents for custom filter,စိတ်ကြိုက် စစ်ထုတ်မှုအတွက် စာရွက်စာတမ်းများ
Documents including suggestion:,အကြံပြုချက်ပါသော စာရွက်စာတမ်းများ-
Documents to be reviewed,ပြန်လည်သုံးသပ်ရန် စာရွက်စာတမ်းများ
Download,ဒေါင်းလုဒ်လုပ်ရန်
Drag and drop file in this window to upload,အပ်လုဒ်လုပ်ရန် ဖိုင်ကို ဤဝင်းဒိုးထဲသို့ ဆွဲချပါ
Drag items here,ဖိုင်များကို ဒီဘက် ဆွဲရွှေ့ပါ
Drag properties here,ထူးခြားချက်များကို ဒီဘက် ဆွဲရွှေ့ပါ
Drop your files here to upload or,သင့်ဖိုင်များကို အပ်လုဒ်လုပ်ရန် ဒီနေရာတွင် ချပါ သို့မဟုတ် 
Duplicated email,ပွားထားသော အီးမေးလ်
Duplicated label,ပွားထားသော တံဆိပ်
Duplicated username,ပွားထားသော အသုံးပြုသူအမည်
Edit all documents matching this criteria,ဤစံနှုန်းနှင့် ကိုက်ညီသော စာရွက်စာတမ်းအားလုံးကို တည်းဖြတ်ပါ
Email is required,အီးမေးလ် လိုအပ်သည်
Enable this page to be used as an entity view page:,ဖြည့်သွင်းချက် ကြည့်ရန်အတွက် စာမျက်နှာအဖြစ် သုံးရန် ဤစာမျက်နှာကို ဖွင့်ထားပါ-
Enter the 6-digit verification code generated by your Authenticator app:,သင့်  Authenticator အက်ပ်မှ ထုတ်လုပ်ပေးသည့် ဂဏန်း 6 လုံးပါ မှန်ကန်ကြောင်း စစ်ဆေးသည့်ကုဒ်ကို ရိုက်ထည့်ပါ-
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.",ဖြည့်သွင်းချက်များကို စိတ်ကြိုက် စာမျက်နှာတွင် ပြသနိုင်သည်။ ထိုသို့ပြုလုပ်ရန် စာမျက်နှာများတွင် စိတ်ကြိုက်စာမျက်နှာတစ်ခုကို ဖန်တီး၍ ဤနေရာတွင် ရွေးချယ်ထားရန် လိုအပ်သည်။
Entity,ဖြည့်သွင်းချက်
Entity types,ဖြည့်သွင်းချက် အမျိုးအစားများ
Error,ချွတ်ယွင်းချက်
Exploration,စူးစမ်းလေ့လာခြင်း
Export CSV,CSV တင်ပို့ရန်
Exporting entities to CSV,ဖြည့်သွင်းချက်များကို CSV သို့ တင်ပို့နေသည်
Extract information from your documents,သင့်စာရွက်စာတမ်းများမှ အချက်အလက်ကို ထုတ်ယူပါ
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads.
2. Copy its URL.
3. Choose ""Custom Icon"" and paste the URL in the indicated field.
4. Reload the page to see your favicon in action."
File,ဖိုင်
Fill,ဖြည့်ရန်
Filters configuration description,စစ်ထုတ်မှုများ စနစ်ဖွဲ့စည်းပုံ ဖော်ပြချက်
Filters configuration example,စစ်ထုတ်မှုများ စနစ်ဖွဲ့စည်းပုံ ဥပမာ
Find,ရှာရန်
Fine tune,ပိုမို ချောမွေ့စေရန်ညှိပါ
Fit,ကိုက်ညီသော
"For better performance, upload your documents in batches of 50 or less.",စွမ်းဆောင်မှု ပိုမိုကောင်းမွန်စေရန်  သင့်စာရွက်စာတမ်းများကို အသုတ် 50 သို့မဟုတ် ထိုထက်နည်းပြီး အပ်လုဒ်လုပ်ပါ။
"For better performance, upload your files in batches of 50 or less.",စွမ်းဆောင်မှု ပိုမိုကောင်းမွန်စေရန်  သင့်ဖိုင်များကို အသုတ် 50 သို့မဟုတ် ထိုထက်နည်းပြီး အပ်လုဒ်လုပ်ပါ။
Forms and email configuration,ပုံစံများနှင့် အီးမေးလ် ဖွဲ့စည်းတည်ဆောက်ပုံ
Full edit mode,အပြည့်အဝ တည်းဖြတ် မုဒ်
General,ယေဘုယျ
Global CSS,ကမ္ဘာသုံး CSS
Groups,အုပ်စုများ
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,ဤနေရာတွင် သင်သည် ဆက်သွယ်ရန် အီးမေးလ်နှင့် Uwazi က အသုံးပြုသူထံ အသိပေးချက် ပို့သည့်အခါ ပေါ်လာသည့် အီးမေးလ်ကို သတ်မှတ်ပြင်ဆင်နိုင်သည်
Hold shift to rotate the map,မြေပုံကို လည်စေရန် shift ကို ဖိပါ
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",ပြင်ပ URL ဖြစ်ပါက URL ပုံစံအပြည့်အစုံကို သုံးပါ။ ဥပမာ- http://www.uwazi.io။
"If it is an internal URL within this website, be sure to delete the first part",ဤဝက်ဘ်ဆိုက်အတွင်းရှိ URL ဖြစ်ပါက ပထမအပိုင်းကို ဖျက်ရန် သေချာပါစေ
"If you want to continue, please type",ဆက်လက်ဆောင်ရွက်လိုပါက ကျေးဇူးပြု၍ စာရိုက်ပါ
Import,ထည့်သွင်းရန်
Import CSV,CSV ထည့်သွင်းရန်
Import completed:,ထည့်သွင်းပြီးပါပြီ-
Import instructions,ထည့်သွင်းမှု ညွှန်ကြားချက်များ
Importing data in progress,ဒေတာ ထည့်သွင်းဆဲ
Improve the quality of this topic's suggestions by finding more sample documents with this label.,ဤတံဆိပ်ပါသော နောက်ထပ်  စာရွက်စာတမ်း နမူနာများကို ရှာ၍ ဤအကြောင်းအရာ၏ အကြံပြုချက်များ အရည်အသွေးကို ပိုကောင်းအောင်လုပ်ပါ။
Indexing entities may take a few minutes,ဖြည့်သွင်းချက်များကို အညွှန်းတပ်ခြင်းသည် မိနစ်အနည်းငယ် ကြာနိုင်ပါသည်
Inherit property,ဂုဏ်သတ္တိကို အမွေဆက်ခံရန်
Install the Google Authenticator app on your mobile device,Google Authenticator အက်ပ်ကို သင့်မိုဘိုင်းစက်တွင် တပ်ဆင်ပါ
Instructions to reset user password have been sent,အသုံးပြုသူ စကားဝှက် ပြန်လည်သတ်မှတ်ရန် ညွှန်ကြားချက်များကို ပို့ပြီးပါပြီ
Invalid captcha,ကက်ပ်ချာ မှားနေသည်
Invalid email,အီးမေးလ် မှားနေသည်
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,အကြံပြုချက် မှားနေပါသလား။ 'ပယ်ရန်' ကို နှိပ်လျှင် Uwazi က အကြံပြုချက်များကို ပိုကောင်းအောင်လုပ်ပါမည်
It could also very easily break the app. Only write code here if you know exactly what you are doing.,၎င်းသည် အက်ပ်ကိုလည်း အလွန်လွယ်ကူစွာ ဖျက်နိုင်သည်။ သင်ဘာလုပ်နေသည်ကို သေချာသိမှသာ ဤနေရာတွင် ကုဒ်ရေးပါ။
Items:,ပါဝင်သည့်အရာများ-
Label,တံဆိပ် အမှတ်အသား
Label more documents,နောက်ထပ် စာရွက်စာတမ်းများကို တံဆိပ်အမှတ်အသားတပ်ပါ
Label your collection note,သင်၏ စုစည်းမှု မှတ်စုကို တံဆိပ်အမှတ်အသားတပ်ပါ
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage
      "
Language deleted,ဘာသာစကား ဖျက်ပြီး
Languages,ဘာသာစကားများ
Latitude,လတ္တီကျု
Learn more,ပိုမိုလေ့လာရန်
Learning...,လေ့လာဆဲ...
Legend,ဒဏ္ဍာရီ
Longitude,လောင်ဂျီကျု
ML TOC,ML TOC
Map,မြေပုံ
Maps,မြေပုံများ
Mark as Reviewed,သုံးသပ်ပြီးဟု မှတ်ရန်
Markdown,အမှတ်အသား
Members,အဖွဲ့ဝင်များ
Message,မက်ဆေ့ချ်
Metadata Extraction,မီတာဒေတာ ထုတ်ယူခြင်း
Metadata creator,မီတာဒေတာ ဖန်တီးသူ
Metadata extraction dashboard,မီတာဒေတာ ထုတ်ယူမှု ဒက်ရှ်ဘုတ်
Metadata to extract,ထုတ်ယူမည့် မီတာဒေတာ
Mixed access,ရောထားသော ဝင်ရောက်သုံးစွဲမှု
Month,လ
Multimedia fill description,မာလ်တီမီဒီယာ ဖြည့်သွင်းခြင်း ဖော်ပြချက်
Multimedia fit description,မာလ်တီမီဒီယာ ကိုက်ညီမှု ဖော်ပြချက်
Multiple relationships edit description,ဆက်နွှယ်မှုများစွာ တည်းဖြတ်ခြင်း ဖော်ပြချက်
Name is required,အမည် လိုအပ်သည်
Name is too long,အမည် ရှည်လွန်းသည်
Name is too short,အမည် တိုလွန်းသည်
Name of the group,အုပ်စု အမည်
Narrow down your searches,သင့်ရှာဖွေမှုများကို ချုံ့ပစ်ပါ
Narrow your search,သင့်ရှာဖွေမှုကို ချုံ့ပစ်ပါ
New language added,ဘာသာစကားအသစ် ထည့်ပြီး
New relationships group,ဆက်နွှယ်မှုအသစ်များ အုပ်စု
Newest,အသစ်ဆုံး
Next,ရှေ့သို့
No Documents found,စာရွက်စာတမ်း ရှာမတွေ့ပါ
No Table of Contents,တွဲချိတ်မှုများ မရှိပါ
No attachments,တွဲချိတ်မှုများ မရှိပါ
No icon / flag,အိုင်ကွန် / အလံ မရှိပါ
