Search Tips: exact term,Sugerencia de Búsqueda: término exacto,,,,,,,,,,,,,,,,,,,,
Search Tips: one char wildcard,Sugerencia de Búqueda: un término genérico,,,,,,,,,,,,,,,,,,,,
Search Tips: proximity,Sugerencia de Búsqueda: proximidad,,,,,,,,,,,,,,,,,,,,
Search Tips: wildcard,Sugerencia de Búsqueda: *,,,,,,,,,,,,,,,,,,,,
Select list,Seleccionar lista,,,,,,,,,,,,,,,,,,,,
selected,seleccionado(s),,,,,,,,,,,,,,,,,,,,
Send recovery email,Enviar correo electrónico de recuperación,,,,,,,,,,,,,,,,,,,,
Separator,Separador,,,,,,,,,,,,,,,,,,,,
Settings,Configuración,,,,,,,,,,,,,,,,,,,,
Settings updated,Configuración actualizada,,,,,,,,,,,,,,,,,,,,
Show more,Mostrar más,,,,,,,,,,,,,,,,,,,,
Sign in,Registrarse,,,,,,,,,,,,,,,,,,,,
Size,Tamaño,,,,,,,,,,,,,,,,,,,,
Sort by,Ordenar por,,,,,,,,,,,,,,,,,,,,
sorted by,ordenado por,,,,,,,,,,,,,,,,,,,,
Table of Contents,Tabla de Contenidos,,,,,,,,,,,,,,,,,,,,
Templates,Plantillas,,,,,,,,,,,,,,,,,,,,
Text,Texto,,,,,,,,,,,,,,,,,,,,
Thesauri,Tesauros,,,,,,,,,,,,,,,,,,,,
Thesaurus saved,Tesauro guardado,,,,,,,,,,,,,,,,,,,,
This action will unselect all the entities.,Esta acción eliminará la selección de todas las entidades,,,,,,,,,,,,,,,,,,,,
Title,Título,,,,,,,,,,,,,,,,,,,,
Tools,Herramientas,,,,,,,,,,,,,,,,,,,,
Translate,Traducir,,,,,,,,,,,,,,,,,,,,
Translations,Traducciones,,,,,,,,,,,,,,,,,,,,
Translations saved,Traducciones guardadas,,,,,,,,,,,,,,,,,,,,
Type,Tipo,,,,,,,,,,,,,,,,,,,,
Update,Actualizar,,,,,,,,,,,,,,,,,,,,
Upload documents and create entities,Cargar documentos y crear entidades,,,,,,,,,,,,,,,,,,,,
Uploading,Subiendo archivos,,,,,,,,,,,,,,,,,,,,
Uploads,Subir archivos,,,,,,,,,,,,,,,,,,,,
User,Usuario,,,,,,,,,,,,,,,,,,,,
Username,Nombre de usuario,,,,,,,,,,,,,,,,,,,,
Users,Usuarios,,,,,,,,,,,,,,,,,,,,
View,Ver,,,,,,,,,,,,,,,,,,,,
View in library,Ver en la colección,,,,,,,,,,,,,,,,,,,,
x less,x menos,,,,,,,,,,,,,,,,,,,,
x more,x más,,,,,,,,,,,,,,,,,,,,
% of sentences above threshold,% de frases por encima del límite,,,,,,,,,,,,,,,,,,,,
(please keep this key secret and don't share it):,"Por favor, mantén tu contraseña secreta y no la compartas",,,,,,,,,,,,,,,,,,,,
(view page),(ver página),,,,,,,,,,,,,,,,,,,,
(+) click to select multiple cards,(+) Haz click para seleccionar varias tarjetas,,,,,,,,,,,,,,,,,,,,
- Entity:,- Entidad:,,,,,,,,,,,,,,,,,,,,
- Library search:,- Búsqueda en biblioteca ,,,,,,,,,,,,,,,,,,,,
- Site page:,- Página,,,,,,,,,,,,,,,,,,,,
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.,1. Haz click derecho en una imagen o video en la página y copia el URL de la imagen. A veces las páginas web cuentan con un botón de compartir donde puedes obtener la URL: ,,,,,,,,,,,,,,,,,,,,
2. Return here and paste the URL in this field (Ctrl+V or Command+V),2. Vuelve aquí y copia la URL en este campo (Ctrl+V o Command+V),,,,,,,,,,,,,,,,,,,,
A generated ID will be the default title.,El ID autogenerado será el título por defecto,,,,,,,,,,,,,,,,,,,,
Accept,Aceptar,,,,,,,,,,,,,,,,,,,,
Action,Acción,,,,,,,,,,,,,,,,,,,,
Activate this feature for enhanced account security,Activa esta función para mejorar la seguridad de tu cuenta,,,,,,,,,,,,,,,,,,,,
Active Languages,Idiomas activos,,,,,,,,,,,,,,,,,,,,
Add / remove favorite,Añadir / eliminar favorito,,,,,,,,,,,,,,,,,,,,
Add date,Añadir fecha,,,,,,,,,,,,,,,,,,,,
Add entities / documents,Añadir entidades / documentos,,,,,,,,,,,,,,,,,,,,
Add from url,Añadir desde URL ,,,,,,,,,,,,,,,,,,,,
Add from web,Añadir desde la web,,,,,,,,,,,,,,,,,,,,
Add group,Añadir grupo,,,,,,,,,,,,,,,,,,,,
Add people or groups,Añadir personas o grupos,,,,,,,,,,,,,,,,,,,,
Add resource,Añadir recurso,,,,,,,,,,,,,,,,,,,,
Add supporting file,Añadir archivo adicional ,,,,,,,,,,,,,,,,,,,,
Add to table of contents,Añadir a la tabla de contenidos,,,,,,,,,,,,,,,,,,,,
Add users,Añadir usuarios,,,,,,,,,,,,,,,,,,,,
Adjacent geolocation properties will render on the same map,El mapa presentará las propiedades de cada entidad al señalarla,,,,,,,,,,,,,,,,,,,,
Administrators and Editors,Administradores y Editores.,,,,,,,,,,,,,,,,,,,,
"All changes will be lost, are you sure you want to proceed?","Se perderán todos los cambios, ¿estás seguro de que quieres continuar?",,,,,,,,,,,,,,,,,,,,
All entities and documents that have already this property assigned will loose its current value,Todas las entidades y documentos que ya tienen esta propiedad asignada perderán su valor actual,,,,,,,,,,,,,,,,,,,,
"Always use URLs relative to your site, starting with / and skipping the domain name. Example:","Utiliza siempre las URLs relativas del sitio, empezando con ""/"" y omitiendo el nombre del dominio. Ejemplo: ",,,,,,,,,,,,,,,,,,,,
An error has occured during data export,Se ha producido un error durante la exportación de datos.,,,,,,,,,,,,,,,,,,,,
Analytics description,Descripción de análisis,,,,,,,,,,,,,,,,,,,,
Anyone will be able to see them,Cualquier persona podrá visualizar,,,,,,,,,,,,,,,,,,,,
Authentication code,Código de autenticación,,,,,,,,,,,,,,,,,,,,
Auto-save,Guardado automático,,,,,,,,,,,,,,,,,,,,
Automatic Table of Contents,Tabla de contenidos automática.,,,,,,,,,,,,,,,,,,,,
Automatically generated,Se genera automáticamente,,,,,,,,,,,,,,,,,,,,
Available Languages,Idiomas disponibles,,,,,,,,,,,,,,,,,,,,
Back to,Volver,,,,,,,,,,,,,,,,,,,,
Back to search,Volver a la búsqueda,,,,,,,,,,,,,,,,,,,,
Back to thesauri,Volver al Thesauri,,,,,,,,,,,,,,,,,,,,
Back to thesaurus,Volver al Tesauro,,,,,,,,,,,,,,,,,,,,
Body,Cuerpo,,,,,,,,,,,,,,,,,,,,
Browse files to upload,Explorar archivos para subir,,,,,,,,,,,,,,,,,,,,
Browse your PDFs to upload,Explorar PDFs para subir,,,,,,,,,,,,,,,,,,,,
Can edit,Puede editar,,,,,,,,,,,,,,,,,,,,
Can see,Puede visualizar,,,,,,,,,,,,,,,,,,,,
Can view,Puede visualizar,,,,,,,,,,,,,,,,,,,,
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,"No se puede utilizar ""cualquier entidad o documento"" si otra relación del mismo tipo está establecida con una entidad específica. ",,,,,,,,,,,,,,,,,,,,
Captcha,Captcha,,,,,,,,,,,,,,,,,,,,
Cards,Tarjetas,,,,,,,,,,,,,,,,,,,,
Cards View,Vista de tarjetas,,,,,,,,,,,,,,,,,,,,
Caution: the selected entities will be,AVISO: Las entidades seleccionadas serán,,,,,,,,,,,,,,,,,,,,
Change will take effect after saving the template,El cambio se realizará después de guardar la plantilla.,,,,,,,,,,,,,,,,,,,,
Changing the type will erase all connections to this entity.,Cambiar el tipo eliminará las conexiones a esta entidad. ,,,,,,,,,,,,,,,,,,,,
Character support description,Descripción del soporte de caracteres,,,,,,,,,,,,,,,,,,,,
Character support process warning,Aviso del proceso de soporte de caracteres,,,,,,,,,,,,,,,,,,,,
Character support revert warning,Aviso: Soporte de caracteres revertido ,,,,,,,,,,,,,,,,,,,,
Check to make this instance private (only logged-in users can access the data),Seleccione para que la instancia sea privada (sólo usuarios conectados pueden acceder a la información),,,,,,,,,,,,,,,,,,,,
Clear Filters,Limpiar filtros,,,,,,,,,,,,,,,,,,,,
Clear coordinates,Limpiar coordenadas,,,,,,,,,,,,,,,,,,,,
Click here,Haz click aquí,,,,,,,,,,,,,,,,,,,,
Click to fill,Click para completar,,,,,,,,,,,,,,,,,,,,
Close,Cerrar,,,,,,,,,,,,,,,,,,,,
Collaborator,Colaboradora,,,,,,,,,,,,,,,,,,,,
Configure suggestions,Configurar sugerencias,,,,,,,,,,,,,,,,,,,,
Configure the default landing page for your site.,Configura la página de destino predeterminada para su sitio. ,,,,,,,,,,,,,,,,,,,,
Confirm deletion,Confirmar la eliminación,,,,,,,,,,,,,,,,,,,,
Confirm publish multiple items,Confirmar la publicación de varios elementos ,,,,,,,,,,,,,,,,,,,,
Congratulations!,¡Felicidades!,,,,,,,,,,,,,,,,,,,,
Connect to a document,Conectar a un documento,,,,,,,,,,,,,,,,,,,,
Connect to a paragraph,Conectar a un párrafo,,,,,,,,,,,,,,,,,,,,
Conversion failed,La conversión ha fallado,,,,,,,,,,,,,,,,,,,,
Copy From,Copiar desde ,,,,,,,,,,,,,,,,,,,,
Copy Highlighted,Copiar lo resaltado,,,,,,,,,,,,,,,,,,,,
Copy link,Copiar enlace,,,,,,,,,,,,,,,,,,,,
Copy properties to this entity from,Copiar las propiedades a esta entidad dede,,,,,,,,,,,,,,,,,,,,
Create,Crear,,,,,,,,,,,,,,,,,,,,
Create Entity,Crear entidad,,,,,,,,,,,,,,,,,,,,
Currently connections only need a title.,Actualmente las conexiones sólo necesitan un título.,,,,,,,,,,,,,,,,,,,,
Custom Uploads,Subidas personalizadas,,,,,,,,,,,,,,,,,,,,
Custom component error,Error de componente personalizado ,,,,,,,,,,,,,,,,,,,,
Custom styles,Estilos personalizados ,,,,,,,,,,,,,,,,,,,,
Data imported,Datos importados,,,,,,,,,,,,,,,,,,,,
Date modified,Fecha de la modificación,,,,,,,,,,,,,,,,,,,,
Day,Día,,,,,,,,,,,,,,,,,,,,
Default language,Idioma predeterminado,,,,,,,,,,,,,,,,,,,,
Default language change success,Cambio de idioma predeterminado conseguido,,,,,,,,,,,,,,,,,,,,
Default language description,Descripción del idioma predeterminado,,,,,,,,,,,,,,,,,,,,
Default template,Plantilla por defecto,,,,,,,,,,,,,,,,,,,,
Delete Group,Eliminar grupo,,,,,,,,,,,,,,,,,,,,
Delete Property,Eliminar propiedad,,,,,,,,,,,,,,,,,,,,
Delete User,Borrar usuario,,,,,,,,,,,,,,,,,,,,
Description,Descripción,,,,,,,,,,,,,,,,,,,,
Discard,Descartar,,,,,,,,,,,,,,,,,,,,
Display entity view from page,Mostrar entidad de visualización desde la página,,,,,,,,,,,,,,,,,,,,
Document,Documento,,,,,,,,,,,,,,,,,,,,
Document Title,Título del documento,,,,,,,,,,,,,,,,,,,,
Document contents,Contenidos del documento,,,,,,,,,,,,,,,,,,,,
Documentation,Documentación,,,,,,,,,,,,,,,,,,,,
Documents for custom filter,Documentos para filtro personalizado,,,,,,,,,,,,,,,,,,,,
Documents including suggestion:,Documentos que incluyen sugerencias: ,,,,,,,,,,,,,,,,,,,,
Documents to be reviewed,Documentos a revisar,,,,,,,,,,,,,,,,,,,,
Download,Descargar,,,,,,,,,,,,,,,,,,,,
Drag and drop file in this window to upload,Arrastrar y soltar el archivo en esta ventana para subir.,,,,,,,,,,,,,,,,,,,,
Drag items here,Arrastra aquí,,,,,,,,,,,,,,,,,,,,
Drag properties here,Arrastra las propiedades aquí,,,,,,,,,,,,,,,,,,,,
Drop your files here to upload or,Suelta los archivos aquí para cargar o,,,,,,,,,,,,,,,,,,,,
Duplicated email,Correo electrónico duplicado,,,,,,,,,,,,,,,,,,,,
Duplicated label,Etiqueta duplicada,,,,,,,,,,,,,,,,,,,,
Duplicated username,Nombre de usuario duplicado,,,,,,,,,,,,,,,,,,,,
Edit all documents matching this criteria,Editar todos los documentos que coinciden con este criterio ,,,,,,,,,,,,,,,,,,,,
Email is required,La dirección de correo electrónico es obligatorio,,,,,,,,,,,,,,,,,,,,
Enable this page to be used as an entity view page:,Habilitar a esta página para que se use como página de vista de entidad:,,,,,,,,,,,,,,,,,,,,
Enter the 6-digit verification code generated by your Authenticator app:,Ingrese el código de verificación de 6 dígitos generado por su aplicación de autenticación ,,,,,,,,,,,,,,,,,,,,
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.","Las entidades se pueden mostrar en una página personalizada. Para eso, una página personalizada debe crearse en Páginas y luego seleccionarse aquí.",,,,,,,,,,,,,,,,,,,,
Entity,Entidad,,,,,,,,,,,,,,,,,,,,
Entity types,Tipos de entidades,,,,,,,,,,,,,,,,,,,,
Error,Error,,,,,,,,,,,,,,,,,,,,
Examples,Ejemplos,,,,,,,,,,,,,,,,,,,,
Exploration,Exploración,,,,,,,,,,,,,,,,,,,,
Export CSV,Exportar CSV,,,,,,,,,,,,,,,,,,,,
Exporting entities to CSV,Exportando entidades a CSV,,,,,,,,,,,,,,,,,,,,
Extract information from your documents,Extraer información de sus documentos,,,,,,,,,,,,,,,,,,,,
Favicon is an icon that appears in the browser tab and bookmarks.,Favicon es un icono que aparece en la pestaña del navegador y en los marcadores. ,,,,,,,,,,,,,,,,,,,,
File,Expediente,,,,,,,,,,,,,,,,,,,,
Fill,Rellenar/completar,,,,,,,,,,,,,,,,,,,,
Filters configuration description,Descripción de la configuración de filtros,,,,,,,,,,,,,,,,,,,,
Filters configuration example,Ejemplo de configuración de filtros,,,,,,,,,,,,,,,,,,,,
Find,Encontrar,,,,,,,,,,,,,,,,,,,,
Fine tune,Afinar búsqueda,,,,,,,,,,,,,,,,,,,,
Fit,Encajar,,,,,,,,,,,,,,,,,,,,
"For better performance, upload your documents in batches of 50 or less.","Para un mejor funcionamiento, carga documentos en bloques de 50 o menos.",,,,,,,,,,,,,,,,,,,,
"For better performance, upload your files in batches of 50 or less.","Para un mejor funcionamiento, carga archivos en bloques de 50 o menos.",,,,,,,,,,,,,,,,,,,,
Forms and email configuration,Configuración de formularios y correo electrónico,,,,,,,,,,,,,,,,,,,,
Full edit mode,Modo de edición completa,,,,,,,,,,,,,,,,,,,,
General,General,,,,,,,,,,,,,,,,,,,,
Global CSS,CSS global,,,,,,,,,,,,,,,,,,,,
Groups,Grupos,,,,,,,,,,,,,,,,,,,,
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,Aquí puedes configurar el correo electrónico de contacto y el que aparece cuando Uwazi envía una notificación a un usuario,,,,,,,,,,,,,,,,,,,,
Hold shift to rotate the map,"Presiona ""Shift"" para girar el mapa",,,,,,,,,,,,,,,,,,,,
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Si utilizas una URL externa, utiliza una dirección completa. Ejemplo: http://www.uwazi.io.",,,,,,,,,,,,,,,,,,,,
"If it is an internal URL within this website, be sure to delete the first part","Si utilizas una URL interna de este sitio web, asegúrate de eliminar la primera parte.",,,,,,,,,,,,,,,,,,,,
"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.","Si has agregado un formulario de contacto en una de las páginas, este es el correo electrónico que recibe la información del formulario.",,,,,,,,,,,,,,,,,,,,
"If you want to continue, please type","Si quieres continuar, por favor escribe",,,,,,,,,,,,,,,,,,,,
Import,Importar,,,,,,,,,,,,,,,,,,,,
Import CSV,Importar CSV,,,,,,,,,,,,,,,,,,,,
Import completed:,Importación completada:,,,,,,,,,,,,,,,,,,,,
Import instructions,Instrucciones de importación,,,,,,,,,,,,,,,,,,,,
Importing data in progress,Importación de datos en curso,,,,,,,,,,,,,,,,,,,,
Improve the quality of this topic's suggestions by finding more sample documents with this label.,"Mejora la calidad de las sugerencias de temas, encontrando más ejemplos de documentos con esta etiqueta.",,,,,,,,,,,,,,,,,,,,
Indexing entities may take a few minutes,La indexación de entidades puede tomar unos minutos.,,,,,,,,,,,,,,,,,,,,
Inherit property,Heredar propiedad,,,,,,,,,,,,,,,,,,,,
Install the Google Authenticator app on your mobile device,Instala la aplicación Google Authenticator en tu dispositivo móvil.,,,,,,,,,,,,,,,,,,,,
Instructions to reset user password have been sent,Se han enviado las instrucciones para restablecer la contraseña de usuario,,,,,,,,,,,,,,,,,,,,
Invalid captcha,Captcha no válido,,,,,,,,,,,,,,,,,,,,
Invalid email,Email no válido,,,,,,,,,,,,,,,,,,,,
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,¿La sugerencia es incorrecta? Haz clic en 'Rechazar' y Uwazi mejorará las sugerencias que realiza.,,,,,,,,,,,,,,,,,,,,
It could also very easily break the app. Only write code here if you know exactly what you are doing.,La aplicación incluso podría dejar de funcionar. Escribe código aquí únicamente si sabes exactamente lo que estás haciendo.,,,,,,,,,,,,,,,,,,,,
Items:,Elementos:,,,,,,,,,,,,,,,,,,,,
Label,Etiqueta,,,,,,,,,,,,,,,,,,,,
Label more documents,Etiquetar más documentos,,,,,,,,,,,,,,,,,,,,
Label your collection note,Etiquetar tus notas de la colección,,,,,,,,,,,,,,,,,,,,
Language deleted,Idioma eliminado,,,,,,,,,,,,,,,,,,,,
Languages,Idiomas,,,,,,,,,,,,,,,,,,,,
Latitude,Latitud,,,,,,,,,,,,,,,,,,,,
Learn more,Aprender más,,,,,,,,,,,,,,,,,,,,
Learning...,Aprendiendo...,,,,,,,,,,,,,,,,,,,,
Legend,Leyenda,,,,,,,,,,,,,,,,,,,,
Longitude,Longitud,,,,,,,,,,,,,,,,,,,,
ML TOC,ML TdC,,,,,,,,,,,,,,,,,,,,
Map,Mapa,,,,,,,,,,,,,,,,,,,,
Maps,Mapas,,,,,,,,,,,,,,,,,,,,
Mark as Reviewed,Marcar como Revisado,,,,,,,,,,,,,,,,,,,,
Markdown,Markdown,,,,,,,,,,,,,,,,,,,,
Members,Miembros,,,,,,,,,,,,,,,,,,,,
Message,Mensaje,,,,,,,,,,,,,,,,,,,,
