Key,Korean
Import completed:,업로드 완료
Import CSV,CSV 업로드
Import instructions,업로드 가이드라인
Importing data in progress,데이터 업로드 중
Improve the quality of this topic's suggestions by finding more sample documents with this label.,이 라벨이 포함된 샘플 문서를 찾아 자동 제안의 성능을 향상시킵니다.
in,안
In OCR Queue,OCR 대기 중
Indexing entities may take a few minutes,엔티티 색인 작업에는 몇 분이 소요될 수 있습니다.
Info,정보
Inherit property,속성 이어받기
Install the Google Authenticator app on your mobile device,모바일 기기에 Google Authenticator 앱을 설치하십시오.
Instructions to reset user password have been sent,사용자 암호 재설정 방법이 전송되었습니다.
Invalid captcha,잘못된 보안문자
Invalid email,잘못된 이메일
Invalid form,잘못된 형식
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,자동 제안이 잘못되었습니까? '거부'를 클릭하면 Uwazi 가 자동 제안을 향상시킵니다.
It could also very easily break the app. Only write code here if you know exactly what you are doing.,앱을 손상시킬 수 있습니다. 반드시 필요한 경우에만 코드를 입력하십시오.
Items:,아이템
Label,라벨
"Label date ""From""",~부터
"Label date ""to""",~까지
Label more documents,더 많은 문서에 라벨 지정
Label your collection note,컬렉션 노트에 라벨 지정
Landing page,랜딩 페이지
landing page description,랜딩 페이지 설명
Language,언어
Language deleted,언어가 삭제되었습니다.
Languages,언어
Latitude,위도
Learn more,더 알아보기
Learning...,학습 중
Least recently,가장 오래전
leaving only a relative URL starting with a slash character. Ie. /some_url.,부분경로: / 이전 도메인 삭제
Legend,범례
Library,라이브러리
library list view,라이브러리 리스트 뷰
library map view,라이브러리 지도 뷰
library table view,라이브러리 테이블 뷰
Link,링크
linked,링크 완료
List view,리스트 뷰
Login,로그인
Login button,로그인 버튼
Login failed,로그인 실패
Logout,로그아웃
Longitude,경도
low,낮게
Mailer configuration,Mailer 구성
Manage site settings and configuration,사이트 설정 및 구성 관리
Map,지도
Map view,지도 뷰
Maps,지도
MapTiler key,Map Tiler 키
Mark as Reviewed,검토 완료로 표시
Markdown,Markdown
Matomo Analytics,Matomo 분석
Maximum,최대
Media,미디어파일
Members,멤버
Menu,메뉴
Message,메세지
Metadata,메타데이터
Metadata creator,메타데이터 작성자
Metadata Extraction,메타데이터 추출
Metadata extraction dashboard,메타데이터 추출 대시보드
Metadata to extract,추출할 메타데이터
Minimum,최소
Mixed access,혼합 접근
ML TOC,ML TOC
Month,월
more options.,옵션 더보기
Multi date range,멀티 날짜 범위
Multi select,멀티 선택
Multimedia fill description,멀티미디어 설명 채우기
Multimedia fit description,멀티미디어 설명 맞추기
Multiple relationships edit description,여러 관계 설명 편집
My Files,내 파일
Name,이름
Name connections,커넥션 이름
Name is required,이름이 필요합니다.
Name is too long,이름이 너무 깁니다.
Name is too short,이름이 너무 짧습니다.
Name of the group,그룹 이름
Narrow down your searches,검색을 세부화하십시오.
Narrow your search,상세 검색
New entity,새 엔티티
New language added,새로운 언어가 추가되었습니다.
New password,새 비밀번호
New relationships group,새로운 관계 그룹
Newest,최신순
Next,다음
No,아니오
No attachments,첨부파일 없음
No common filters,공통 필터 없음
No Connections,커넥션 없음
No Connections description,커넥션 설명 없음
No Documents found,문서를 찾지 못했습니다.
No icon / flag,아이콘/플래그 없음
No Label,라벨 없음
No label,라벨 없음
No options found,검색된 옵션 없음
No property,속성 없음
No References,참고문헌 없음
No References description,참고문헌 설명 없음
No relationship types warning,관계 유형 없음
No Relationships,관계 없음
No Relationships description,관계 설명 없음
No Table of Contents,목차 없음
No Table of Contents,목차 없음
No Table of Contents description,목차 설명 없음
No text match,일치하는 텍스트 없음
No text match description,일치하는 텍스트 설명 없음
No type,유형 없음
No value,값 없음
Normal view,일반 뷰
Nothing to see here! The selected documents are not using the selected thesaurus,검색 결과 없음. 해당 문서는 선택한 시소러스를 사용하지 않습니다.
Number of sentences above threshold,임계값 이상 문장 수
Numeric,숫자
OCR,OCR (광학 문자 인식)
OCR button tip:  This will process the document to recognize it's text. The original file will be added as a supporting file.,OCR 팁: 이 버튼을 누르면 문서 내 텍스트를 OCR 로 읽고 변환할 수 있습니다. 원본 파일은 보충 문서로 저장됩니다.
OCR completed,OCR 완료
"OCR description tip 1: This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data.",OCR 팁 1: 이 버튼을 누르면 PDF 문서를 OCR (광학 문서 인식) 으로 읽고 변환할 수 있습니다. 이 기능은 스캔 문서나 사진 내 텍스트를 기계 인식 가능한 텍스트 데이터로 변환합니다.
"OCR description tip 2 :  When activated, this will enable administrator and editor users to send PDF documents to the OCR service.",OCR 팁 2: 이 기능이 활성화되면 사용자는 PDF 파일을 OCR 할 수 있습니다.
OCR error,OCR 에러
OCR error tip: The OCR engine couldn't read the document due to a malformed format. Last updated,OCR 에러: 잘못된 형식의 문서로 OCR 엔진 인식에 실패했습니다.
OCR PDF,PDF OCR 읽기
of,의
Ok,확인
Oldest,역순
Only allowed users will be able to see them,접근이 허용된 사용자만 볼 수 있습니다.
Ooops... please go,Ooops...
Oops! We couldn't find the thesaurus you're trying to edit. Try navigating back to this page through Settings.,편집하려는 시소러스를 찾을 수 없습니다. 설정으로 돌아가 페이지를 다시 탐색하십시오.
"Open the app and select ""Add Account"" (usually a plus symbol)","앱을 열고 ""계정 추가"" (혹은 + 기호) 를 선택하십시오."
Open the two-factor Authenticator app on your device,기기에서 Authenticator 앱을 여십시오.
or,or
or drop your files here.,혹은 여기에 파일을 드롭하십시오.
Or enter this secret key into your Authenticator app,혹은 다음 키를 Authenticator 앱에 입력하십시오.
Order,순서
Other,기타
out of,out of
Page,페이지
Page Javascript,페이지 자바스크립트
Pages,페이지
Password,비밀번호
Password Error,암호 오류
Password is too long,암호가 너무 깁니다.
Password updated,암호 업데이트 완료
Passwords don’t match,암호가 일치하지 않습니다.
Permission,권한
Permission on entities explicitly shared with the user,특정 사용자에게 엔티티 접근 허가
Permissions,권한
Plain text,일반 텍스트
Please contact an admin for details.,자세한 내용은 관리자에게 문의하십시오.
Please type in letters and numbers from the image to start the export.,이미지에 있는 문자와 숫자를 입력해 추출을 시작하십시오.
Precision,정확도
Press enter to add,Enter 키를 눌러 추가
Preview,미리보기
Preview,미리보기
Previous,이전
PRIMARY DOCUMENTS,기본 문서
Priority sorting,우선순위 정렬
Priority sorting description,우선순위 정렬
private,비공개
Private documents,비공개 문서
Private instance,비공개 인스턴스
Processing,처리 중
Properties,속성
Properties from other templates in the collection using the same label,이 컬렉션 내 다른 템플릿의 속성이 동일한 라벨을 사용하고 있습니다.
Property as default filter description,이 속성을 기본 필터로 설정
Property as filter description,이 속성을 필터로 설정
Property delete warning,속성 삭제 경고
Protect your account,계정 보호하기
Protection,보호
ProTip!,프로 팁
public,공개
Public documents,공개 인스턴스
Public Endpoints,공개 엔드포인트
Public form settings description,공개 양식 설정
Public form URL description,공개 양식 URL
Public form whitelist description,공개 양식 화이트리스트
Publish,게시
Published,공개 게시물
Query,검사
Quick labeling for,빠른 라벨링
Receiving email,수신 이메일 주소
Recently,최근
References,참고문헌
Reject,거부
Relationship,연결
Relationship,연결
Relationship types,연결 유형
Relationships,연결
RelationType saved,연결 유형 저장 완료
Relevance,관련성
Remove,제거
remove icon,아이콘 제거
Rename,이름 재설정
Repeat Password,암호를 재입력하십시오.
Request id #,아이디 요청 #
Required property,필수 속성
Reset,초기화
Reset 2FA,이중 인증 절차 재설정
Reset Password,암호 재설정
Restricted,비공개 게시물
Return to login,로그인으로 돌아가기
Return to the thesaurus page when you finished labeling to start learning.,라벨링을 마치면 학습 시작을 위해 시소러스 페이지로 돌아가십시오.
Review unpublished document,게시 전 문서 검토
Reviewed,검토 완료
Rich Text,긴 텍스트
Role,권한
Route,루트
Sample,샘플
Save,저장
Save and go to next,저장하고 다음으로 이동
Save changes,변경사항 저장
Save document,문서 저장
Save document(s),문서 저장
Save password,암호 저장
Save User,사용자 저장
"Scan the following QR code selecting the ""scan barcode"" option:",바코드 스캔' 옵션을 선택 후 QR 코드 스캔
Search,검색
Search connections,커넥션 검색
Search item,아이템 검색
Search not found,검색 결과 없음
Search related entities or documents,연결된 엔티티 및 문서 검색
Search relevance,관련성 검색
Search text,텍스트 검색
Search text description,텍스트 설명 검색
Search tips,검색 팁
Search Tips: boolean,검색 팁: 연산자
Search Tips: exact term,검색 팁: 정확한 용어
Search Tips: one char wildcard,검색 팁: one char wildcard
Search Tips: proximity,검색 팁: 근접성
Search Tips: wildcard,검색 팁: wildcard
Select,선택
Select all,전체 선택
Select files on your device,기기에서 파일을 선택하십시오.
Select from files,파일 중 선택하기
Select list,목록 선택
Select relationship type,연결 유형 선택
Select supporting file,추가 파일 선택
Select target paragraph,대상 단락 선택
Select...,선택
selected,선택 완료
selected of,~ 중 선택됨
Semantic Search,시맨틱 서치
Semantic search minimum sentences help,시맨틱 서치를 위한 최소 문장 팁
Semantic search overview,시맨틱 서치 개요
Semantic search results,시맨틱 서치 결과
Semantic search threshold help,시맨틱 서치 임계값 도움말
Send,전송
Send recovery email,복구 이메일 전송
Sending email,발신 이메일 주소
Sentences above threshold,임계값 이상 문장
Separator,분리부호
Set as default,기본으로 설정
Set the default starting point for your geolocation properties.,지리정보 속성을 위해 기본 시작점을 설정하십시오.
Settings,설정
Settings updated,설정 업데이트 완료
Share,공유
Share with people and groups,사용자 및 그룹과 공유
Shared as editor,편집자로 공유
Shared as viewer,뷰어로 공유
Show cookie policy,쿠키 정책 보기
Show filters,필터 보기
Show in cards,카드에 표시하기
Show more,자세히 보기
Show Suggestions,자동 제안 보기
shown of,/
Sign in,로그인
Size,크기
Some adavanced search features may not be available for this language.,이 언어에서는 일부 상세 검색이 제한될 수 있습니다.
Something went wrong,오류
Sort,분류하기
Sort by,정렬 기준
sorted by,정렬 기준
Strict mode,제한 모드
Style,스타일
Submit,제출
Submiting,제출 중
Suggested labels description,자동 제안 라벨
Suggestions,자동 제안
Supporting files,추가 파일
syntax to create page content,페이지 콘텐츠 생성 신택스
Table,테이블
Table of Contents,목차
Table of Contents,목차
Table view,테이블 뷰
Template,템플릿
Templates,템플릿
Text,텍스트
Text,텍스트
Text references limit warning,텍스트 참조 제한
The combination of entity types doesn't have any filters in common.,이 엔티티 유형에는 공통 필터가 없습니다.
The current model was trained at,현재 모델의 훈련은:
"The first step is to label a sample of your documents, so Uwazi can learn which topics to suggest when helping you label your collection.","첫째, 문서를 라벨링하십시오. 라벨링된 문서는 Uwazi 가 알맞은 주제를 자동 제안하는 데에 필요한 샘플이 됩니다."
The import process threw an error:,업로드 과정에서 오류가 발생했습니다:
The template contains errors,템플릿에 오류가 포함되어 있습니다.
There are no pages enabled for entity view,엔티티 뷰가 활성화된 페이지가 없습니다.
"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.",사용자 맞춤 페이지에 예상치 못한 에러가 발생했습니다. 자세한 내용은 관리자에게 문의하십시오.
Thesauri,시소러스
Thesaurus saved,시소러스 저장 완료
This action will unselect all the entities.,모든 엔티티 선택 취소
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,이 영역에 사용자 맞춤 자바스크립트를 추가할 수 있습니다.
This content is automatically generated,콘텐츠가 자동으로 생성되었습니다.
"This entity has no document, you probably want to see the metadata",이 엔티티에는 문서가 없습니다. 메타데이터를 확인하십시오.
This entity is not public.,공개된 엔티티가 아닙니다.
This entity is restricted from public view.,이 엔티티는 공개 모드에서 제한됩니다.
"This language will be used as default translation when adding new languages, and the default language for the site when no other language has been selected.",이 언어를 페이지의 기본 언어로 설정합니다. 다른 언어를 추가 시 원어로 설정됩니다.
This option will show a notification about the use of cookies in your instance.,인스턴스 내 쿠키 사용 알림이 필요할 경우 이 옵션을 선택하십시오.
This property will appear in the library cards as part of the basic info.,이 속성은 카드의 기본 정보에 포함되며 라이브러리에서 볼 수 있습니다.
This property will be inherited from the related entities and shown as metadata of this type of entities.,관련 엔티티에서 속성을 이어받아 현재 엔티티의 메타데이터에 포함시킵니다.
This property will be shown using all the width available.,디스플레이 가능한 너비 내에서 이 속성을 표시합니다.
This property will be shown without the label.,이 속성은 라벨 없이 표시됩니다.
This template will be used as default for new entities.,이 템플릿을 새 엔티티의 기본값으로 사용합니다.
Threshold,임계점
Time,시간
Title,제목
"To bring you a better experience, this site uses cookies.",이 사이트는 사용자 편의를 위해 쿠키를 사용합니다.
"To complete the account creation process, please create a password for your account",계정 생성을 마치려면 계정 비밀번호를 설정하십시오.
To get resource from web:,웹에서 리소스 얻기:
to learn more about the components.,구성 요소에 대해 더 자세히 알기
to view your authentication code and verify your identity.,코드 확인하고 인증하기
Tools,도구
Train model,트레이닝 모델:
Translate,번역
Translations,번역
Translations saved,번역 저장 완료
Try selecting other documents.,다른 문서 선택
Two-factor verification failed,이중 인증 절차 실패
Two-step verification,이중 인증
Type,유형
Unsupported OCR language,OCR 지원되지 않는 언어
Update,업데이트
Upload a ZIP or CSV file.,ZIP 혹은 CSV 파일 업로드
Upload and select file,업로드 및 파일 선택
Upload documents and create entities,문서 업로드 및 엔티티 생성
Upload from computer,컴퓨터에서 업로드
Upload PDF,PDF 업로드
Upload PDF(s) to create,PDF 업로드해 엔티티 생성
Uploading,업로드 중
Uploading ...,업로드 중
Uploading file,파일 업로드 중
Uploads,업로드
URL,URL
Use,사용
Use custom landing page,사용자 지정 랜딩 페이지
User,사용자
Username,사용자 이름
Username is required,사용자 이름이 필요합니다.
Username is too long,사용자 이름이 너무 깁니다.
Username is too short,사용자 이름이 너무 짧습니다.
Users,사용자
Using Google Authenticator,Google Authenticator 사용 중
Uwazi is developed by,Uwazi 제작 및 개발:
"Uwazi is learning using the labelled documents. This may take up to 2 hours, and once completed you can review suggestions made by Uwazi for your collection.",Uwazi 가 라벨링된 문서를 학습하고 있습니다. 이 과정은 최대 2 시간이 소요될 수 있습니다. 완료 후 Uwazi 의 자동 제안을 검토할 수 있습니다.
Uwazi UI,Uwazi UI
Verify,검증
Verifying...,검증 중
View,보기
View in library,라이브러리에서 보기
View suggestions,자동 제안 보기
viewer,뷰어
Warning: you are editing multiple entities. Fields marked with a,경고: 여러 엔티티 동시에 편집
"We provide a default key, you can set your own MapTiler API key",제공되는 기본 키 외에 사용자의 Map Tiler API 키를 사용할 수 있습니다.
We recommend labeling,라벨링을 추천합니다.
Website analytics,웹사이트 분석
Welcome to Uwazi,Uwazi 에 오신 것을 환영합니다.
"Well, this is awkward...",알 수 없는 에러 발생
will be updated with the same value.,동일 값으로 업데이트됩니다.
with,with
With great power comes great responsibility!,큰 일에는 큰 책임이 따르는 법!
x less,덜 보기
x more,더 보기
Year,연도
"You can also embed advanced components like maps, charts and entity lists in your page.","지도, 차트, 엔티티 리스트 등 고급 구성 요소를 페이지에 삽입할 수 있습니다."
You can also improve the model by providing more labeled documents.,더 많은 문서를 라벨링해 자동 제안 기능을 향상시킬 수 있습니다.
"You can configure the email that will appear as the sender when any email is sent to the user. If this email is not set, “no-reply@uwazi.io” will be used instead.","사용자에게 보낼 때 사용할 이메일 주소를 설정할 수 있습니다. 설정된 이메일이 없는 경우 ""no-reply@uwazi.io"" 가 사용됩니다."
You can configure the URL of a different Uwazi to receive the submits from your Public Form,설문조사 결과를 받을 다른 Uwazi URL 을 지정할 수 있습니다.
You can create metadata templates in,메타데이터 템플릿을 작성할 수 있습니다:
You have labeled,라벨링 완료:
You have successfully configured two-step verification.,이중 인증 절차 구성 완료
You should activate this feature for enhanced account security,계정 보안 향상이 필요한 경우 이 기능을 활성화해야 합니다.
You will need to reload the page after updating your Favicon.,파비콘 업로드 후 페이지를 새로고침하십시오.
You won't be able to save an entity if this property is empty.,엔티티 저장을 위해 필요한 속성입니다.
Your account is protected by 2fa.,계정 이중 인증 보호 중
Zoom in,확대
Zoom in library view,라이브러리 뷰 확대
Zoom out,축소
Zoom out library view,라이브러리 뷰 축소
- Entity:,- 특정 엔티티:
- Filters,- 필터
- Library search:,- 라이브러리 검색 결과:
"- select ""Create group"" below to group filters under a label e.g (""Documents "" or ""People"")","- 아래 ""그룹 만들기"" 를 선택해 필터를 그룹핑할 수 있습니다."
- Site page:,- 특정 페이지:
(+) click to select multiple cards,(+) 여러 카드 선택
(please keep this key secret and don't share it):,(키를 외부와 공유하지 마십시오):
(view page),(페이지 보기)
% of sentences above threshold,임계값 이상 문장 비율
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.,"1. 웹에서 이미지 혹은 비디오를 마우스 우클릭하거나 ""공유"" 버튼이 있는 경우 눌러 URL 을 복사합니다."
2. Return here and paste the URL in this field (Ctrl+V or Command+V),2. 이 페이지로 돌아와 Ctrl + V 또는 Command + V 를 눌러 URL 을 붙여넣기합니다.
